ee_x,ee_y,ee_z,distance,delta_6axis,delta_3axis,joint0_delta,joint1_delta,joint2_delta,joint3_delta,joint4_delta,joint5_delta
-0.1337398886680603,-0.0098982322961092,0.08092382550239563,1.9680253580238936,8.116,8.116,3.1416,2.1819,2.7925,0.0,0.0,0.0
-0.1568879932165146,-0.009897754527628422,-0.03919990733265877,2.089492072547541,7.972794871794871,7.972794871794871,3.1416,2.1819,2.6492948717948717,0.0,0.0,0.0
-0.1626562476158142,-0.009897645562887192,-0.1613968312740326,2.211774614152771,7.829589743589744,7.829589743589744,3.1416,2.1819,2.506089743589744,0.0,0.0,0.0
-0.15092647075653076,-0.009897816926240921,-0.2831653654575348,2.3324376006573115,7.686384615384616,7.686384615384616,3.1416,2.1819,2.3628846153846155,0.0,0.0,0.0
-0.12193882465362549,-0.009898399002850056,-0.40201297402381897,2.4494300428154774,7.543179487179487,7.543179487179487,3.1416,2.1819,2.219679487179487,0.0,0.0,0.0
-0.07628736644983292,-0.009899185039103031,-0.5155071020126343,2.561019992676417,7.399974358974359,7.399974358974359,3.1416,2.1819,2.076474358974359,0.0,0.0,0.0
-0.014906466007232666,-0.009900247678160667,-0.6213243007659912,2.6657393542735632,7.256769230769231,7.256769230769231,3.1416,2.1819,1.9332692307692307,0.0,0.0,0.0
0.0609470009803772,-0.00990140251815319,-0.7172984480857849,2.762341697840286,7.113564102564103,7.113564102564103,3.1416,2.1819,1.7900641025641026,0.0,0.0,0.0
0.14972111582756042,-0.009902582503855228,-0.8014652729034424,2.849769721254625,6.970358974358975,6.970358974358975,3.1416,2.1819,1.6468589743589743,0.0,0.0,0.0
0.24959804117679596,-0.00990415457636118,-0.8721014261245728,2.927129560776655,6.827153846153847,6.827153846153847,3.1416,2.1819,1.503653846153846,0.0,0.0,0.0
0.3585328459739685,-0.009905305691063404,-0.9277610182762146,2.993673900786597,6.683948717948718,6.683948717948718,3.1416,2.1819,1.360448717948718,0.0,0.0,0.0
0.47429633140563965,-0.009906359948217869,-0.9673044681549072,3.0487881731252906,6.54074358974359,6.54074358974359,3.1416,2.1819,1.2172435897435898,0.0,0.0,0.0
0.5945181250572205,-0.009907367639243603,-0.9899227619171143,3.0919816181319377,6.397538461538462,6.397538461538462,3.1416,2.1819,1.0740384615384615,0.0,0.0,0.0
0.716737687587738,-0.00990826915949583,-0.9951524138450623,3.12287920996493,6.254333333333333,6.254333333333333,3.1416,2.1819,0.9308333333333332,0.0,0.0,0.0
0.8384526968002319,-0.009908976964652538,-0.9828866124153137,3.1412182819768386,6.111128205128205,6.111128205128205,3.1416,2.1819,0.7876282051282053,0.0,0.0,0.0
0.957172155380249,-0.009909738786518574,-0.953376054763794,3.146844573766413,5.967923076923077,5.967923076923077,3.1416,2.1819,0.644423076923077,0.0,0.0,0.0
1.070465326309204,-0.009910429827868938,-0.9072248935699463,3.1397110775263086,5.824717948717948,5.824717948717948,3.1416,2.1819,0.5012179487179487,0.0,0.0,0.0
1.176013469696045,-0.009911416098475456,-0.8453769683837891,3.1198767693593754,5.68151282051282,5.68151282051282,3.1416,2.1819,0.35801282051282035,0.0,0.0,0.0
1.2716554403305054,-0.009912235662341118,-0.7690985798835754,3.0875086209932574,5.538307692307692,5.538307692307692,3.1416,2.1819,0.21480769230769203,0.0,0.0,0.0
1.3554320335388184,-0.009913181886076927,-0.6799517273902893,3.0428824840911166,5.395102564102564,5.395102564102564,3.1416,2.1819,0.07160256410256416,0.0,0.0,0.0
1.4256292581558228,-0.009913725778460503,-0.5797600746154785,2.9863858394049196,5.395102564102564,5.395102564102564,3.1416,2.1819,0.07160256410256416,0.0,0.0,0.0
1.4808094501495361,-0.009914068505167961,-0.470575213432312,2.9185243336200006,5.538307692307693,5.538307692307693,3.1416,2.1819,0.21480769230769248,0.0,0.0,0.0
1.519842267036438,-0.00991450808942318,-0.3546317517757416,2.839926830316218,5.68151282051282,5.68151282051282,3.1416,2.1819,0.35801282051282035,0.0,0.0,0.0
1.5419282913208008,-0.0099153071641922,-0.23430362343788147,2.751357430765244,5.824717948717948,5.824717948717948,3.1416,2.1819,0.5012179487179487,0.0,0.0,0.0
1.5466151237487793,-0.009915170259773731,-0.11205482482910156,2.653728487233477,5.967923076923077,5.967923076923077,3.1416,2.1819,0.644423076923077,0.0,0.0,0.0
1.533806324005127,-0.009915637783706188,0.0096120685338974,2.5481183842555546,6.111128205128205,6.111128205128205,3.1416,2.1819,0.7876282051282053,0.0,0.0,0.0
1.5037641525268555,-0.009915201924741268,0.12820610404014587,2.4357982216563934,6.254333333333333,6.254333333333333,3.1416,2.1819,0.9308333333333336,0.0,0.0,0.0
1.4571034908294678,-0.009914728812873363,0.2412983477115631,2.3182657604686705,6.397538461538462,6.397538461538462,3.1416,2.1819,1.0740384615384615,0.0,0.0,0.0
1.3947798013687134,-0.009914652444422245,0.3465736508369446,2.197288360117004,6.54074358974359,6.54074358974359,3.1416,2.1819,1.2172435897435894,0.0,0.0,0.0
1.3180688619613647,-0.009913668967783451,0.44187667965888977,2.074959463584697,6.683948717948718,6.683948717948718,3.1416,2.1819,1.3604487179487177,0.0,0.0,0.0
1.2285411357879639,-0.009913338348269463,0.5252560973167419,1.9537652251054631,6.827153846153847,6.827153846153847,3.1416,2.1819,1.503653846153846,0.0,0.0,0.0
1.1280298233032227,-0.009912161156535149,0.5950043797492981,1.8366545688846596,6.970358974358975,6.970358974358975,3.1416,2.1819,1.6468589743589743,0.0,0.0,0.0
1.018593192100525,-0.009911051020026207,0.6496931910514832,1.7270932955331417,7.113564102564103,7.113564102564103,3.1416,2.1819,1.7900641025641026,0.0,0.0,0.0
0.9024714827537537,-0.009909724816679955,0.6882035732269287,1.6290621161587682,7.2567692307692315,7.2567692307692315,3.1416,2.1819,1.933269230769231,0.0,0.0,0.0
0.7820426225662231,-0.009908349253237247,0.7097466588020325,1.5469371146861723,7.39997435897436,7.39997435897436,3.1416,2.1819,2.0764743589743593,0.0,0.0,0.0
0.6597721576690674,-0.009907218627631664,0.7138810157775879,1.4851616756216608,7.543179487179488,7.543179487179488,3.1416,2.1819,2.2196794871794876,0.0,0.0,0.0
0.5381641387939453,-0.009905974380671978,0.7005227208137512,1.4476703046927655,7.6863846153846165,7.6863846153846165,3.1416,2.1819,2.362884615384616,0.0,0.0,0.0
0.4197077751159668,-0.00990490335971117,0.6699452996253967,1.4371488501919736,7.829589743589743,7.829589743589743,3.1416,2.1819,2.5060897435897433,0.0,0.0,0.0
0.3068285882472992,-0.009903695434331894,0.6227748990058899,1.4543963702364544,7.972794871794871,7.972794871794871,3.1416,2.1819,2.6492948717948717,0.0,0.0,0.0
0.2018377035856247,-0.009902379475533962,0.5599775910377502,1.4981131164085415,8.116,8.116,3.1416,2.1819,2.7925,0.0,0.0,0.0
-0.1035073921084404,-0.009899571537971497,0.06764034181833267,1.9794667597869327,8.004107692307693,8.004107692307693,3.1416,2.0700076923076924,2.7925,0.0,0.0,0.0
-0.11310294270515442,-0.009899452328681946,-0.054318517446517944,2.1017572152598976,7.860902564102565,7.860902564102565,3.1416,2.0700076923076924,2.6492948717948717,0.0,0.0,0.0
-0.10519466549158096,-0.009899616241455078,-0.176398366689682,2.2232765342725993,7.717697435897437,7.717697435897437,3.1416,2.0700076923076924,2.506089743589744,0.0,0.0,0.0
-0.07994453608989716,-0.009899742901325226,-0.2960999608039856,2.341848509607994,7.574492307692308,7.574492307692308,3.1416,2.0700076923076924,2.3628846153846155,0.0,0.0,0.0
-0.03786980360746384,-0.009900085628032684,-0.4109722971916199,2.4556439985773975,7.43128717948718,7.43128717948718,3.1416,2.0700076923076924,2.219679487179487,0.0,0.0,0.0
