state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.035964914,-0.16561402,0.49515146","0.9729829,-0.9264309,0.87792635","0.09291279,-0.1273795,0.094316214,-0.13847642,-0.035564367,0.9722033,-0.035964914,-0.16561402,0.49515146",0.0
"0.09291279,-0.1273795,0.094316214,-0.13847642,-0.035564367,0.9722033,-0.035964914,-0.16561402,0.49515146","0.8956796,-0.9266165,0.96897495","0.1784437,-0.25478455,0.19841386,-0.22471787,-0.13423894,0.9102734,-0.035964914,-0.16561402,0.49515146",0.0
"0.1784437,-0.25478455,0.19841386,-0.22471787,-0.13423894,0.9102734,-0.035964914,-0.16561402,0.49515146","0.95632386,-0.62088543,0.97617793","0.2697657,-0.34015316,0.30328533,-0.19079888,-0.20735215,0.84510416,-0.035964914,-0.16561402,0.49515146",0.0
"0.2697657,-0.34015316,0.30328533,-0.19079888,-0.20735215,0.84510416,-0.035964914,-0.16561402,0.49515146","0.91687274,-0.4034332,0.96549535","0.3573204,-0.3956232,0.4070092,-0.10946073,-0.21426536,0.77935183,-0.035964914,-0.16561402,0.49515146",0.0
"0.3573204,-0.3956232,0.4070092,-0.10946073,-0.21426536,0.77935183,-0.035964914,-0.16561402,0.49515146","0.6762661,-0.30579245,0.9495611","0.4218989,-0.43766814,0.5090212,-0.0489718,-0.1717376,0.7004117,-0.035964914,-0.16561402,0.49515146",0.0
"0.4218989,-0.43766814,0.5090212,-0.0489718,-0.1717376,0.7004117,-0.035964914,-0.16561402,0.49515146","0.21678972,-0.56515104,0.9338149","0.44260073,-0.5153736,0.60934156,-0.03671399,-0.16911165,0.5889462,-0.035964914,-0.16561402,0.49515146",0.0
"0.44260073,-0.5153736,0.60934156,-0.03671399,-0.16911165,0.5889462,-0.035964914,-0.16561402,0.49515146","0.086134195,-0.37434143,0.6662272","0.45082593,-0.5668436,0.6809148,-0.030100552,-0.15567149,0.50313145,-0.035964914,-0.16561402,0.49515146",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.07672515,-0.12807018,0.6313337","-0.92019254,-0.018384278,0.93800664","-0.08787171,-0.0025277531,0.10077067,0.12999928,-0.030810557,0.9723152,0.07672515,-0.12807018,0.6313337",0.0
"-0.08787171,-0.0025277531,0.10077067,0.12999928,-0.030810557,0.9723152,0.07672515,-0.12807018,0.6313337","-0.9131503,-0.2677955,0.94322467","-0.17507093,-0.039348274,0.20210195,0.16317971,-0.09325627,0.9286422,0.07672515,-0.12807018,0.6313337",0.0
"-0.17507093,-0.039348274,0.20210195,0.16317971,-0.09325627,0.9286422,0.07672515,-0.12807018,0.6313337","-0.8205685,-0.42450833,0.95549154","-0.25342926,-0.09771601,0.30475104,0.13924217,-0.13399872,0.8710582,0.07672515,-0.12807018,0.6313337",0.0
