state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.32959065,-0.26385963,-0.28866473","-0.9235761,0.9868554,0.9326806","-0.08819481,0.13568754,0.10019846,0.40214795,-0.10834711,0.87927747,0.32959065,-0.26385963,-0.28866473",0.0
"-0.08819481,0.13568754,0.10019846,0.40214795,-0.10834711,0.87927747,0.32959065,-0.26385963,-0.28866473","-0.9781208,0.96034145,0.89434063","-0.18159826,0.26772955,0.19627802,0.61348414,-0.38678595,0.5802214,0.32959065,-0.26385963,-0.28866473",0.0
"-0.18159826,0.26772955,0.19627802,0.61348414,-0.38678595,0.5802214,0.32959065,-0.26385963,-0.28866473","-0.83197767,0.8529767,0.95405924","-0.26104608,0.38500947,0.2987732,0.5944978,-0.62877476,0.19295539,0.32959065,-0.26385963,-0.28866473",0.0
"-0.26104608,0.38500947,0.2987732,0.5944978,-0.62877476,0.19295539,0.32959065,-0.26385963,-0.28866473","-0.25279897,0.3702904,0.990695","-0.28518656,0.43592256,0.40520418,0.52820903,-0.6508413,-0.07092469,0.32959065,-0.26385963,-0.28866473",0.0
"-0.28518656,0.43592256,0.40520418,0.52820903,-0.6508413,-0.07092469,0.32959065,-0.26385963,-0.28866473","0.4572842,-0.77597666,0.999725","-0.24151923,0.3292298,0.51260525,0.54369986,-0.50749725,-0.007898405,0.32959065,-0.26385963,-0.28866473",0.0
"-0.24151923,0.3292298,0.51260525,0.54369986,-0.50749725,-0.007898405,0.32959065,-0.26385963,-0.28866473","0.13599706,-0.22576177,0.9890946","-0.2285325,0.29818878,0.6188643,0.4894179,-0.41979992,-0.08247,0.32959065,-0.26385963,-0.28866473",0.0
"-0.2285325,0.29818878,0.6188643,0.4894179,-0.41979992,-0.08247,0.32959065,-0.26385963,-0.28866473","0.029907346,0.5153383,0.96348083","-0.22567655,0.3690452,0.7223716,0.39326587,-0.32970247,-0.2658997,0.32959065,-0.26385963,-0.28866473",0.0
"-0.22567655,0.3690452,0.7223716,0.39326587,-0.32970247,-0.2658997,0.32959065,-0.26385963,-0.28866473","-0.0120943785,-0.12053895,0.5830779","-0.22683148,0.35247177,0.785012,0.33169606,-0.27896142,-0.27090716,0.32959065,-0.26385963,-0.28866473",0.0
"-0.22683148,0.35247177,0.785012,0.33169606,-0.27896142,-0.27090716,0.32959065,-0.26385963,-0.28866473","0.10032761,0.06513643,0.05745566","-0.21725093,0.36142775,0.79118454,0.33119187,-0.26174185,-0.28180593,0.32959065,-0.26385963,-0.28866473",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.16590644,0.03356725,-0.15692818","0.2544316,-0.91988635,-0.9800522","0.024296368,-0.12647964,-0.10528762,-0.4037162,-0.025069319,0.88419044,-0.16590644,0.03356725,-0.15692818",0.0
"0.024296368,-0.12647964,-0.10528762,-0.4037162,-0.025069319,0.88419044,-0.16590644,0.03356725,-0.15692818","-0.77202517,-0.9150024,-0.964555","-0.04942644,-0.25228778,-0.20891039,-0.7020512,0.11575748,0.5894216,-0.16590644,0.03356725,-0.15692818",0.0
"-0.04942644,-0.25228778,-0.20891039,-0.7020512,0.11575748,0.5894216,-0.16590644,0.03356725,-0.15692818","-0.7316243,-0.974592,-0.9942303","-0.11929125,-0.38628918,-0.31572115,-0.8009916,0.32129514,0.16402389,-0.16590644,0.03356725,-0.15692818",0.0
"-0.11929125,-0.38628918,-0.31572115,-0.8009916,0.32129514,0.16402389,-0.16590644,0.03356725,-0.15692818","0.621989,-0.7480704,-0.9965921","-0.059895813,-0.48914507,-0.42278567,-0.80691546,0.15954715,-0.20161767,-0.16590644,0.03356725,-0.15692818",0.0
"-0.059895813,-0.48914507,-0.42278567,-0.80691546,0.15954715,-0.20161767,-0.16590644,0.03356725,-0.15692818","-0.7101901,0.5747292,-0.964819","-0.12771381,-0.4101228,-0.5264368,-0.67524105,0.2927522,-0.17102681,-0.16590644,0.03356725,-0.15692818",0.0
"-0.12771381,-0.4101228,-0.5264368,-0.67524105,0.2927522,-0.17102681,-0.16590644,0.03356725,-0.15692818","-0.010869086,0.438617,-0.99285436","-0.12875174,-0.34981528,-0.6330998,-0.575225,0.25254667,-0.17681512,-0.16590644,0.03356725,-0.15692818",0.0
"-0.12875174,-0.34981528,-0.6330998,-0.575225,0.25254667,-0.17681512,-0.16590644,0.03356725,-0.15692818","0.6112485,0.3318628,-0.92321485","-0.07038194,-0.30418593,-0.7322813,-0.5004231,0.118422315,-0.190189,-0.16590644,0.03356725,-0.15692818",0.0
"-0.07038194,-0.30418593,-0.7322813,-0.5004231,0.118422315,-0.190189,-0.16590644,0.03356725,-0.15692818","0.28881812,0.80281126,-0.83747077","-0.042801913,-0.19380355,-0.8222513,-0.40339205,0.060413927,-0.12398513,-0.16590644,0.03356725,-0.15692818",0.0
