state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.66725147,0.7333918,-0.113517225","0.25873065,0.979076,0.5530759","0.024706906,0.13461792,0.05941728,0.3633333,0.03406503,0.91178566,0.66725147,0.7333918,-0.113517225",0.0
"0.024706906,0.13461792,0.05941728,0.3633333,0.03406503,0.91178566,0.66725147,0.7333918,-0.113517225","0.96104836,0.9313574,0.5465281","0.116480045,0.26267478,0.11813113,0.61475164,0.24176759,0.69235307,0.66725147,0.7333918,-0.113517225",0.0
"0.116480045,0.26267478,0.11813113,0.61475164,0.24176759,0.69235307,0.66725147,0.7333918,-0.113517225","0.82778263,0.90206254,0.12074077","0.19552727,0.38670376,0.13110237,0.6806418,0.48713487,0.44663638,0.66725147,0.7333918,-0.113517225",0.0
"0.19552727,0.38670376,0.13110237,0.6806418,0.48713487,0.44663638,0.66725147,0.7333918,-0.113517225","0.27095246,0.91838,0.47809362","0.22140126,0.51297635,0.18246424,0.7208342,0.60923326,0.09069196,0.66725147,0.7333918,-0.113517225",0.0
"0.22140126,0.51297635,0.18246424,0.7208342,0.60923326,0.09069196,0.66725147,0.7333918,-0.113517225","0.29616046,0.7704704,-0.83004487","0.24968243,0.6189121,0.09329195,0.6908367,0.69764113,-0.019615645,0.66725147,0.7333918,-0.113517225",0.0
"0.24968243,0.6189121,0.09329195,0.6908367,0.69764113,-0.019615645,0.66725147,0.7333918,-0.113517225","0.18045878,0.57395124,-0.4964584","0.26691493,0.6978275,0.03995706,0.6592795,0.74201584,-0.12674247,0.66725147,0.7333918,-0.113517225",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.9201755,-0.0057894737,0.29470268","0.25814164,0.95374656,0.5532435","0.02465066,0.13113524,0.059435293,0.35637316,0.03346014,0.91484326,0.9201755,-0.0057894737,0.29470268",0.0
"0.02465066,0.13113524,0.059435293,0.35637316,0.03346014,0.91484326,0.9201755,-0.0057894737,0.29470268","-0.05364889,0.7513654,0.50696266","0.019527584,0.23444414,0.113898605,0.60922027,0.043221306,0.74117476,0.9201755,-0.0057894737,0.29470268",0.0
"0.019527584,0.23444414,0.113898605,0.60922027,0.043221306,0.74117476,0.9201755,-0.0057894737,0.29470268","-0.45177388,0.88557947,-0.33312154","-0.02361354,0.35620677,0.07811113,0.7643368,-0.051000774,0.5800713,0.9201755,-0.0057894737,0.29470268",0.0
"-0.02361354,0.35620677,0.07811113,0.7643368,-0.051000774,0.5800713,0.9201755,-0.0057894737,0.29470268","0.35352707,0.7811519,0.26810837","0.010145731,0.46361122,0.10691415,0.9013357,0.034530703,0.31920663,0.9201755,-0.0057894737,0.29470268",0.0
"0.010145731,0.46361122,0.10691415,0.9013357,0.034530703,0.31920663,0.9201755,-0.0057894737,0.29470268","-0.11783904,0.27604353,-0.36799157","-0.0011070397,0.5015658,0.06738054,0.91850543,0.002594993,0.2943081,0.9201755,-0.0057894737,0.29470268",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.2428655,0.93549705,-0.024995487","0.80311894,0.9616599,0.8456254","0.07669204,0.1322233,0.09084607,0.3857021,0.10073154,0.89046353,0.2428655,0.93549705,-0.024995487",0.0
"0.07669204,0.1322233,0.09084607,0.3857021,0.10073154,0.89046353,0.2428655,0.93549705,-0.024995487","0.8141818,0.94381166,0.6942524","0.15444049,0.26199257,0.16543002,0.6137837,0.33014685,0.63269466,0.2428655,0.93549705,-0.024995487",0.0
"0.15444049,0.26199257,0.16543002,0.6137837,0.33014685,0.63269466,0.2428655,0.93549705,-0.024995487","0.93364954,0.91137624,0.6803374","0.24359725,0.38730213,0.23851909,0.62251127,0.60598785,0.2820276,0.2428655,0.93549705,-0.024995487",0.0
"0.24359725,0.38730213,0.23851909,0.62251127,0.60598785,0.2820276,0.2428655,0.93549705,-0.024995487","0.85711527,0.7683705,0.29101586","0.32544553,0.4929492,0.26978308,0.47372892,0.7865991,0.0018798304,0.2428655,0.93549705,-0.024995487",0.0
"0.32544553,0.4929492,0.26978308,0.47372892,0.7865991,0.0018798304,0.2428655,0.93549705,-0.024995487","0.6687577,0.46526074,-0.6817864","0.38930705,0.5569202,0.19653831,0.3196392,0.89879984,-0.032915015,0.2428655,0.93549705,-0.024995487",0.0
"0.38930705,0.5569202,0.19653831,0.3196392,0.89879984,-0.032915015,0.2428655,0.93549705,-0.024995487","0.2669326,0.10991073,-0.35322833","0.4147972,0.5720324,0.15859073,0.24965587,0.93220764,-0.009798226,0.2428655,0.93549705,-0.024995487",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.57754385,-0.6188304,-0.31978464","-0.94604874,0.99050164,0.93802035","-0.09034078,0.13618888,0.10077211,0.40298903,-0.11151681,0.8782786,0.57754385,-0.6188304,-0.31978464",0.0
"-0.09034078,0.13618888,0.10077211,0.40298903,-0.11151681,0.8782786,0.57754385,-0.6188304,-0.31978464","-0.9674606,0.9406004,0.9964907","-0.18272623,0.2655166,0.20782574,0.61518025,-0.39094308,0.56772363,0.57754385,-0.6188304,-0.31978464",0.0
"-0.18272623,0.2655166,0.20782574,0.61518025,-0.39094308,0.56772363,0.57754385,-0.6188304,-0.31978464","-0.9246206,0.95521307,0.9637506","-0.2710208,0.3968535,0.31136206,0.5773536,-0.6503445,0.14841744,0.57754385,-0.6188304,-0.31978464",0.0
"-0.2710208,0.3968535,0.31136206,0.5773536,-0.6503445,0.14841744,0.57754385,-0.6188304,-0.31978464","-0.21405548,0.7568842,0.747102","-0.29146156,0.5009212,0.3916237,0.52062327,-0.6680851,-0.18677889,0.57754385,-0.6188304,-0.31978464",0.0
"-0.29146156,0.5009212,0.3916237,0.52062327,-0.6680851,-0.18677889,0.57754385,-0.6188304,-0.31978464","0.13388228,0.3536513,-0.17237777","-0.27867675,0.54954654,0.37310502,0.55042213,-0.6507076,-0.26448202,0.57754385,-0.6188304,-0.31978464",0.0
