state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.13397661,-0.06590643,0.6313337","0.7722939,-0.92899466,0.96873665","0.07374845,-0.127732,0.10407203,-0.12783834,-0.024212148,0.97210616,-0.13397661,-0.06590643,0.6313337",0.0
"0.07374845,-0.127732,0.10407203,-0.12783834,-0.024212148,0.97210616,-0.13397661,-0.06590643,0.6313337","0.012409687,-0.72688305,0.94244957","0.07493348,-0.22767471,0.20532005,-0.19315524,-0.04037645,0.9250493,-0.13397661,-0.06590643,0.6313337",0.0
"0.07493348,-0.22767471,0.20532005,-0.19315524,-0.04037645,0.9250493,-0.13397661,-0.06590643,0.6313337","0.7581308,-0.5939272,0.8476906","0.14732945,-0.3093367,0.29638803,-0.2108069,-0.09872357,0.8658291,-0.13397661,-0.06590643,0.6313337",0.0
"0.14732945,-0.3093367,0.29638803,-0.2108069,-0.09872357,0.8658291,-0.13397661,-0.06590643,0.6313337","-0.12965941,-0.58863676,0.96801424","0.13494791,-0.39027128,0.4003825,-0.22118093,-0.093472295,0.7852475,-0.13397661,-0.06590643,0.6313337",0.0
"0.13494791,-0.39027128,0.4003825,-0.22118093,-0.093472295,0.7852475,-0.13397661,-0.06590643,0.6313337","0.12105346,-0.11228579,0.98434186","0.14650764,-0.40571004,0.506131,-0.11951864,-0.05279364,0.7146151,-0.13397661,-0.06590643,0.6313337",0.0
"0.14650764,-0.40571004,0.506131,-0.11951864,-0.05279364,0.7146151,-0.13397661,-0.06590643,0.6313337","0.056670547,-0.4300382,0.60402596","0.15191926,-0.46483815,0.571022,-0.13182339,-0.06165428,0.64133894,-0.13397661,-0.06590643,0.6313337",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.121286556,0.08707602,0.6313337","0.42251873,-0.741622,0.96165156","0.04034746,-0.10196922,0.10331087,-0.0761779,-0.0038719636,0.97862804,0.121286556,0.08707602,0.6313337",0.0
"0.04034746,-0.10196922,0.10331087,-0.0761779,-0.0038719636,0.97862804,0.121286556,0.08707602,0.6313337","0.24918473,0.5182023,0.9754369","0.064142786,-0.030719094,0.20810273,0.2073157,0.04825967,0.91996515,0.121286556,0.08707602,0.6313337",0.0
"0.064142786,-0.030719094,0.20810273,0.2073157,0.04825967,0.91996515,0.121286556,0.08707602,0.6313337","0.90283275,-0.3141055,0.9209269","0.15035675,-0.073907,0.30703855,0.21223614,0.11494069,0.85623014,0.121286556,0.08707602,0.6313337",0.0
"0.15035675,-0.073907,0.30703855,0.21223614,0.11494069,0.85623014,0.121286556,0.08707602,0.6313337","0.62700975,-0.5801927,0.9177948","0.21023162,-0.15368053,0.4056379,0.15057741,0.12430657,0.79418933,0.121286556,0.08707602,0.6313337",0.0
"0.21023162,-0.15368053,0.4056379,0.15057741,0.12430657,0.79418933,0.121286556,0.08707602,0.6313337","-0.15705228,-0.5333059,0.65938175","0.19523424,-0.22700739,0.47647575,0.10776491,0.08293679,0.7431613,0.121286556,0.08707602,0.6313337",0.0
"0.19523424,-0.22700739,0.47647575,0.10776491,0.08293679,0.7431613,0.121286556,0.08707602,0.6313337","-0.1561817,-0.39953983,0.75992334","0.18032002,-0.28194207,0.5581149,0.09780682,0.06906906,0.6613635,0.121286556,0.08707602,0.6313337",0.0
"0.18032002,-0.28194207,0.5581149,0.09780682,0.06906906,0.6613635,0.121286556,0.08707602,0.6313337","0.0895406,0.035710335,0.14791942","0.1888705,-0.2770321,0.574006,0.11240466,0.08279144,0.63933915,0.121286556,0.08707602,0.6313337",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.029824562,0.42988303,0.47972226","0.8040782,0.90623164,0.8923451","0.07678364,0.12460218,0.0958652,0.3769181,0.098688856,0.8937559,-0.029824562,0.42988303,0.47972226",0.0
"0.07678364,0.12460218,0.0958652,0.3769181,0.098688856,0.8937559,-0.029824562,0.42988303,0.47972226","0.96758616,-0.4767654,0.7286192","0.1691811,0.059049405,0.17414124,0.3005261,0.18340464,0.8864215,-0.029824562,0.42988303,0.47972226",0.0
"0.1691811,0.059049405,0.17414124,0.3005261,0.18340464,0.8864215,-0.029824562,0.42988303,0.47972226","0.8074012,-0.18635643,0.87779665","0.24628204,0.033426348,0.26844352,0.28383595,0.28537574,0.8133131,-0.029824562,0.42988303,0.47972226",0.0
"0.24628204,0.033426348,0.26844352,0.28383595,0.28537574,0.8133131,-0.029824562,0.42988303,0.47972226","0.96182704,-0.42254877,0.92044854","0.33812955,-0.024671942,0.36732793,0.18307874,0.34032437,0.7487813,-0.029824562,0.42988303,0.47972226",0.0
"0.33812955,-0.024671942,0.36732793,0.18307874,0.34032437,0.7487813,-0.029824562,0.42988303,0.47972226","0.93802786,0.010177255,0.8139725","0.4277044,-0.02327263,0.45477355,0.09440973,0.43421954,0.6262924,-0.029824562,0.42988303,0.47972226",0.0
"0.4277044,-0.02327263,0.45477355,0.09440973,0.43421954,0.6262924,-0.029824562,0.42988303,0.47972226","0.6128793,-0.61007583,0.9424758","0.4862299,-0.10715493,0.5560244,0.010204774,0.36964157,0.558773,-0.029824562,0.42988303,0.47972226",0.0
"0.4862299,-0.10715493,0.5560244,0.010204774,0.36964157,0.558773,-0.029824562,0.42988303,0.47972226","0.01894188,0.28349876,0.3110261","0.48803872,-0.068175316,0.58943814,0.010195582,0.42533073,0.4694516,-0.029824562,0.42988303,0.47972226",0.0
"0.48803872,-0.068175316,0.58943814,0.010195582,0.42533073,0.4694516,-0.029824562,0.42988303,0.47972226","0.34100592,-0.021713197,-0.043494403","0.52060235,-0.07116077,0.58476555,-0.033035636,0.42016077,0.47980344,-0.029824562,0.42988303,0.47972226",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.2266082,0.5309941,0.47593033","0.9657762,0.5898645,0.8741189","0.092224635,0.08110333,0.09390715,0.2854536,0.0911409,0.93178445,-0.2266082,0.5309941,0.47593033",0.0
"0.092224635,0.08110333,0.09390715,0.2854536,0.0911409,0.93178445,-0.2266082,0.5309941,0.47593033","0.948452,-0.5385059,0.76233506","0.18279491,0.007061537,0.17580532,0.20684074,0.14072254,0.9232575,-0.2266082,0.5309941,0.47593033",0.0
"0.18279491,0.007061537,0.17580532,0.20684074,0.14072254,0.9232575,-0.2266082,0.5309941,0.47593033","0.88121533,0.03927684,0.7393724","0.2669446,0.012461889,0.2552366,0.23003381,0.26458868,0.84708995,-0.2266082,0.5309941,0.47593033",0.0
"0.2669446,0.012461889,0.2552366,0.23003381,0.26458868,0.84708995,-0.2266082,0.5309941,0.47593033","0.9094472,-0.12036562,0.8296058","0.3537902,-0.004087776,0.34436172,0.17351864,0.36387402,0.758375,-0.2266082,0.5309941,0.47593033",0.0
"0.3537902,-0.004087776,0.34436172,0.17351864,0.36387402,0.758375,-0.2266082,0.5309941,0.47593033","0.90682364,0.42964053,0.8970431","0.44038525,0.054985583,0.44073167,0.096172966,0.5385942,0.5525399,-0.2266082,0.5309941,0.47593033",0.0
"0.44038525,0.054985583,0.44073167,0.096172966,0.5385942,0.5525399,-0.2266082,0.5309941,0.47593033","0.9670651,0.12416065,0.14813066","0.53273296,0.07205703,0.45664546,-0.064538926,0.5689718,0.504779,-0.2266082,0.5309941,0.47593033",0.0
"0.53273296,0.07205703,0.45664546,-0.064538926,0.5689718,0.504779,-0.2266082,0.5309941,0.47593033","0.52473474,-0.15452611,0.31912148","0.5828413,0.050810494,0.49092895,-0.14781855,0.532589,0.48078093,-0.2266082,0.5309941,0.47593033",0.0
"0.5828413,0.050810494,0.49092895,-0.14781855,0.532589,0.48078093,-0.2266082,0.5309941,0.47593033","0.45977688,0.080253124,-0.106645584","0.62674665,0.061844893,0.479472,-0.22407888,0.51775086,0.48355705,-0.2266082,0.5309941,0.47593033",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.009181287,0.0016374269,0.64963955","-0.889609,-0.4711277,0.75516355","-0.08495121,-0.06477765,0.081127726,-0.024571674,0.012719602,0.98592526,0.009181287,0.0016374269,0.64963955",0.0
"-0.08495121,-0.06477765,0.081127726,-0.024571674,0.012719602,0.98592526,0.009181287,0.0016374269,0.64963955","-0.48630977,0.0062395334,0.96805286","-0.13139027,-0.063919775,0.1851263,0.10821708,-0.04107202,0.94873995,0.009181287,0.0016374269,0.64963955",0.0
"-0.13139027,-0.063919775,0.1851263,0.10821708,-0.04107202,0.94873995,0.009181287,0.0016374269,0.64963955","-0.84117305,-0.75507283,0.94430673","-0.2117162,-0.16773844,0.28657383,0.029956287,-0.016138732,0.9049883,0.009181287,0.0016374269,0.64963955",0.0
"-0.2117162,-0.16773844,0.28657383,0.029956287,-0.016138732,0.9049883,0.009181287,0.0016374269,0.64963955","-0.6259943,-0.7178434,0.9428408","-0.27149415,-0.26643825,0.38786387,-0.015947172,0.027061671,0.83380693,0.009181287,0.0016374269,0.64963955",0.0
"-0.27149415,-0.26643825,0.38786387,-0.015947172,0.027061671,0.83380693,0.009181287,0.0016374269,0.64963955","-0.7922377,-0.38626313,0.90073013","-0.34714708,-0.3195475,0.48462996,-0.0005341761,0.013557189,0.7484783,0.009181287,0.0016374269,0.64963955",0.0
"-0.34714708,-0.3195475,0.48462996,-0.0005341761,0.013557189,0.7484783,0.009181287,0.0016374269,0.64963955","-0.0029475093,-0.27546793,0.60734487","-0.34742856,-0.35742298,0.54987746,0.0030205613,0.0067417296,0.6816636,0.009181287,0.0016374269,0.64963955",0.0
"-0.34742856,-0.35742298,0.54987746,0.0030205613,0.0067417296,0.6816636,0.009181287,0.0016374269,0.64963955","-0.6779896,-0.1325301,0.2408309","-0.41217166,-0.37564525,0.5757502,0.003761513,0.007965782,0.65324485,0.009181287,0.0016374269,0.64963955",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.5372515,-0.28415203,0.6657879","-0.8451748,0.85966885,0.9402466","-0.08070805,0.11820005,0.10101128,0.37229517,-0.09049209,0.8956605,0.5372515,-0.28415203,0.6657879",0.0
"-0.08070805,0.11820005,0.10101128,0.37229517,-0.09049209,0.8956605,0.5372515,-0.28415203,0.6657879","-0.23595285,0.503574,0.68975234","-0.103239834,0.18743889,0.17511182,0.5587522,-0.1817508,0.737276,0.5372515,-0.28415203,0.6657879",0.0
"-0.103239834,0.18743889,0.17511182,0.5587522,-0.1817508,0.737276,0.5372515,-0.28415203,0.6657879","-0.21814108,-0.048870265,0.49124384","-0.12407072,0.1807195,0.22788648,0.57446074,-0.22972888,0.6795329,0.5372515,-0.28415203,0.6657879",0.0
"-0.12407072,0.1807195,0.22788648,0.57446074,-0.22972888,0.6795329,0.5372515,-0.28415203,0.6657879","-0.25306368,-0.053383887,0.21208179","-0.14823647,0.1733795,0.25067058,0.55933124,-0.27462253,0.6597246,0.5372515,-0.28415203,0.6657879",0.0
"-0.14823647,0.1733795,0.25067058,0.55933124,-0.27462253,0.6597246,0.5372515,-0.28415203,0.6657879","-0.02811706,-0.15541768,0.12495029","-0.15092145,0.15201038,0.26409408,0.5358375,-0.26847297,0.6731677,0.5372515,-0.28415203,0.6657879",0.0
