state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.15590644,0.09093567,-0.40556052","0.9853504,0.9848288,0.98984385","0.09409382,0.13540891,0.106339544,0.40302303,0.12878299,0.87427646,-0.15590644,0.09093567,-0.40556052",0.0
"0.09409382,0.13540891,0.106339544,0.40302303,0.12878299,0.87427646,-0.15590644,0.09093567,-0.40556052","0.987962,0.9666705,0.9753115","0.18843701,0.26832113,0.21111786,0.6061965,0.41461116,0.55799234,-0.15590644,0.09093567,-0.40556052",0.0
"0.18843701,0.26832113,0.21111786,0.6061965,0.41461116,0.55799234,-0.15590644,0.09093567,-0.40556052","0.9699662,0.9743655,0.97798085","0.28106177,0.4022914,0.31618294,0.5485862,0.6767708,0.12946405,-0.15590644,0.09093567,-0.40556052",0.0
"0.28106177,0.4022914,0.31618294,0.5485862,0.6767708,0.12946405,-0.15590644,0.09093567,-0.40556052","0.95060086,0.96261644,0.9919137","0.37183726,0.5346463,0.42274484,0.31249246,0.7484981,-0.29230198,-0.15590644,0.09093567,-0.40556052",0.0
"0.37183726,0.5346463,0.42274484,0.31249246,0.7484981,-0.29230198,-0.15590644,0.09093567,-0.40556052","0.95143926,0.8877816,0.9846282","0.46269277,0.65671176,0.528524,0.064972915,0.60134405,-0.58591425,-0.15590644,0.09093567,-0.40556052",0.0
"0.46269277,0.65671176,0.528524,0.064972915,0.60134405,-0.58591425,-0.15590644,0.09093567,-0.40556052","0.9585751,0.20729327,0.9642916","0.55422974,0.68521357,0.6321184,-0.07921235,0.4262838,-0.6312176,-0.15590644,0.09093567,-0.40556052",0.0
"0.55422974,0.68521357,0.6321184,-0.07921235,0.4262838,-0.6312176,-0.15590644,0.09093567,-0.40556052","0.9374845,-0.35101956,0.8944211","0.6437527,0.6369502,0.7282066,-0.15668592,0.30976376,-0.55544806,-0.15590644,0.09093567,-0.40556052",0.0
"0.6437527,0.6369502,0.7282066,-0.15668592,0.30976376,-0.55544806,-0.15590644,0.09093567,-0.40556052","0.8588898,-0.460281,0.82143474","0.7257704,0.573664,0.8164538,-0.18616489,0.20801389,-0.46164498,-0.15590644,0.09093567,-0.40556052",0.0
"0.7257704,0.573664,0.8164538,-0.18616489,0.20801389,-0.46164498,-0.15590644,0.09093567,-0.40556052","0.58155453,-0.21474212,0.65071845","0.78130466,0.54413813,0.8863609,-0.16560383,0.12836976,-0.39610028,-0.15590644,0.09093567,-0.40556052",0.0
"0.78130466,0.54413813,0.8863609,-0.16560383,0.12836976,-0.39610028,-0.15590644,0.09093567,-0.40556052","0.28650856,0.09890151,0.19566679","0.80866414,0.55773664,0.9073815,-0.14960362,0.09556963,-0.3849495,-0.15590644,0.09093567,-0.40556052",0.0
"0.80866414,0.55773664,0.9073815,-0.14960362,0.09556963,-0.3849495,-0.15590644,0.09093567,-0.40556052","0.2225399,0.064213276,-0.020087123","0.82991505,0.5665657,0.90522355,-0.15376058,0.0842605,-0.390693,-0.15590644,0.09093567,-0.40556052",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.5026901,-0.07801169,-0.6336642","-0.0060094,0.9873018,0.98745906","-0.0005738491,0.13574892,0.10608334,0.42343062,0.0050258297,0.8741486,0.5026901,-0.07801169,-0.6336642",0.0
