state,action,next_state,reward
"-0.02235995,0.023998003,0.18918096,0.29981175,-0.015291822,0.901092,0.33567253,-0.050116956,0.7721578","-0.14294434,0.0011966228,0.7464044","-0.036010098,0.024162522,0.26936767,0.38461402,-0.037871253,0.82117784,0.33567253,-0.050116956,0.7721578",0.0
"-0.036010098,0.024162522,0.26936767,0.38461402,-0.037871253,0.82117784,0.33567253,-0.050116956,0.7721578","-0.27363235,-0.39408028,0.37900126","-0.062140007,-0.030021504,0.31008407,0.32139537,-0.057650514,0.8225793,0.33567253,-0.050116956,0.7721578",0.0
"-0.062140007,-0.030021504,0.31008407,0.32139537,-0.057650514,0.8225793,0.33567253,-0.050116956,0.7721578","0.17868304,-0.080197215,0.27072358","-0.045077074,-0.04104822,0.33916813,0.33140153,-0.041399457,0.79799765,0.33567253,-0.050116956,0.7721578",0.0
"-0.045077074,-0.04104822,0.33916813,0.33140153,-0.041399457,0.79799765,0.33567253,-0.050116956,0.7721578","-0.21598774,0.018294811,0.13732624","-0.06570234,-0.038532797,0.35392126,0.34521005,-0.06636961,0.7781336,0.33567253,-0.050116956,0.7721578",0.0
"-0.06570234,-0.038532797,0.35392126,0.34521005,-0.06636961,0.7781336,0.33567253,-0.050116956,0.7721578","0.13655055,-0.12856275,0.059779763","-0.05266276,-0.056209534,0.3603435,0.32256716,-0.047990344,0.7849269,0.33567253,-0.050116956,0.7721578",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.15415205,0.1760234,0.8857847","0.65240526,-0.18365097,0.76233006","0.062299963,-0.025251074,0.08189762,0.056899652,0.017182672,0.9842216,-0.15415205,0.1760234,0.8857847",0.0
"0.062299963,-0.025251074,0.08189762,0.056899652,0.017182672,0.9842216,-0.15415205,0.1760234,0.8857847","0.8172697,-0.2341032,0.8895581","0.14034328,-0.057439078,0.17746344,0.10528654,0.05608421,0.951253,-0.15415205,0.1760234,0.8857847",0.0
"0.14034328,-0.057439078,0.17746344,0.10528654,0.05608421,0.951253,-0.15415205,0.1760234,0.8857847","0.8630196,-0.025568247,0.7876841","0.22275537,-0.0609546,0.2620849,0.16175647,0.14376035,0.891304,-0.15415205,0.1760234,0.8857847",0.0
"0.22275537,-0.0609546,0.2620849,0.16175647,0.14376035,0.891304,-0.15415205,0.1760234,0.8857847","0.94554305,-0.21763456,0.47824657","0.31304786,-0.090878256,0.3134633,0.11482389,0.182936,0.8593364,-0.15415205,0.1760234,0.8857847",0.0
"0.31304786,-0.090878256,0.3134633,0.11482389,0.182936,0.8593364,-0.15415205,0.1760234,0.8857847","0.8561883,0.43674338,-0.056489766","0.3948076,-0.03082831,0.30739462,0.09912636,0.30679777,0.82621694,-0.15415205,0.1760234,0.8857847",0.0
"0.3948076,-0.03082831,0.30739462,0.09912636,0.30679777,0.82621694,-0.15415205,0.1760234,0.8857847","0.95544267,-0.2840513,0.02628541","0.48604545,-0.06988392,0.31021857,0.00527266,0.2523125,0.85059166,-0.15415205,0.1760234,0.8857847",0.0
"0.48604545,-0.06988392,0.31021857,0.00527266,0.2523125,0.85059166,-0.15415205,0.1760234,0.8857847","0.9011164,-0.0023620725,-0.13797033","0.5720955,-0.07020871,0.2953964,-0.058584936,0.22843666,0.8655605,-0.15415205,0.1760234,0.8857847",0.0
"0.5720955,-0.07020871,0.2953964,-0.058584936,0.22843666,0.8655605,-0.15415205,0.1760234,0.8857847","0.8079585,-0.27922863,0.044577837","0.6492497,-0.10860124,0.3001855,-0.08056819,0.14623693,0.87997687,-0.15415205,0.1760234,0.8857847",0.0
"0.6492497,-0.10860124,0.3001855,-0.08056819,0.14623693,0.87997687,-0.15415205,0.1760234,0.8857847","0.2699896,0.3986634,-0.030401945","0.6750318,-0.053787097,0.29691947,-0.14537366,0.22609435,0.85393816,-0.15415205,0.1760234,0.8857847",0.0
"0.6750318,-0.053787097,0.29691947,-0.14537366,0.22609435,0.85393816,-0.15415205,0.1760234,0.8857847","0.0073521137,-0.36389846,0.10132587","0.67573386,-0.103821285,0.30780503,-0.10185415,0.15431386,0.8710434,-0.15415205,0.1760234,0.8857847",0.0
"0.67573386,-0.103821285,0.30780503,-0.10185415,0.15431386,0.8710434,-0.15415205,0.1760234,0.8857847","0.10173333,0.22349179,-0.18292964","0.68544865,-0.07309234,0.28815284,-0.12708952,0.18235825,0.87408936,-0.15415205,0.1760234,0.8857847",0.0
"0.68544865,-0.07309234,0.28815284,-0.12708952,0.18235825,0.87408936,-0.15415205,0.1760234,0.8857847","0.17017269,-0.14346743,0.05360198","0.7016989,-0.0928184,0.2939114,-0.11740247,0.15001108,0.87870836,-0.15415205,0.1760234,0.8857847",0.0
"0.7016989,-0.0928184,0.2939114,-0.11740247,0.15001108,0.87870836,-0.15415205,0.1760234,0.8857847","-0.16241217,0.1124295,-0.07901597","0.6861897,-0.07735995,0.28542274,-0.12124813,0.17260084,0.8788773,-0.15415205,0.1760234,0.8857847",0.0
"0.6861897,-0.07735995,0.28542274,-0.12124813,0.17260084,0.8788773,-0.15415205,0.1760234,0.8857847","0.36504197,-0.06385875,-0.02900219","0.72104853,-0.08614022,0.2823071,-0.12613986,0.14241038,0.8859751,-0.15415205,0.1760234,0.8857847",0.0
"0.72104853,-0.08614022,0.2823071,-0.12613986,0.14241038,0.8859751,-0.15415205,0.1760234,0.8857847","0.16997755,0.14979053,-0.017433822","0.7372802,-0.06554482,0.28043422,-0.15904754,0.16375834,0.8771639,-0.15415205,0.1760234,0.8857847",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.14356726,-0.5905263,0.6657879","0.9031522,-0.99230665,-0.69386184","0.08624447,-0.13643706,-0.07454201,-0.37464043,-0.09805793,0.8991583,-0.14356726,-0.5905263,0.6657879",0.0
"0.08624447,-0.13643706,-0.07454201,-0.37464043,-0.09805793,0.8991583,-0.14356726,-0.5905263,0.6657879","0.97059584,-0.80720204,0.05356288","0.17892933,-0.2474232,-0.0687877,-0.50073946,-0.30858028,0.7717286,-0.14356726,-0.5905263,0.6657879",0.0
"0.17892933,-0.2474232,-0.0687877,-0.50073946,-0.30858028,0.7717286,-0.14356726,-0.5905263,0.6657879","0.98285127,-0.0055375695,0.8159753","0.27278447,-0.2481846,0.01887307,-0.32485697,-0.36620048,0.8489624,-0.14356726,-0.5905263,0.6657879",0.0
"0.27278447,-0.2481846,0.01887307,-0.32485697,-0.36620048,0.8489624,-0.14356726,-0.5905263,0.6657879","0.958482,-0.7359009,0.76087964","0.36431256,-0.34936723,0.100614905,-0.24207997,-0.51907814,0.77707106,-0.14356726,-0.5905263,0.6657879",0.0
"0.36431256,-0.34936723,0.100614905,-0.24207997,-0.51907814,0.77707106,-0.14356726,-0.5905263,0.6657879","0.44211388,-0.31627452,0.79786146","0.4065312,-0.3928534,0.18632971,-0.16149783,-0.51408905,0.7712256,-0.14356726,-0.5905263,0.6657879",0.0
"0.4065312,-0.3928534,0.18632971,-0.16149783,-0.51408905,0.7712256,-0.14356726,-0.5905263,0.6657879","0.051676035,-0.6286851,0.95468783","0.4114659,-0.4792944,0.28889248,-0.15547271,-0.52340895,0.70202756,-0.14356726,-0.5905263,0.6657879",0.0
"0.4114659,-0.4792944,0.28889248,-0.15547271,-0.52340895,0.70202756,-0.14356726,-0.5905263,0.6657879","0.27529097,-0.43252653,0.33166432","0.43775418,-0.53876466,0.32452345,-0.120139174,-0.57672596,0.6335921,-0.14356726,-0.5905263,0.6657879",0.0
"0.43775418,-0.53876466,0.32452345,-0.120139174,-0.57672596,0.6335921,-0.14356726,-0.5905263,0.6657879","-0.26882803,0.048693895,-0.038387895","0.41208306,-0.53206956,0.32039946,-0.16503225,-0.5610176,0.64147425,-0.14356726,-0.5905263,0.6657879",0.0
"0.41208306,-0.53206956,0.32039946,-0.16503225,-0.5610176,0.64147425,-0.14356726,-0.5905263,0.6657879","0.074789405,-0.08303356,-0.18522799","0.41922492,-0.5434863,0.30050036,-0.16322938,-0.6063165,0.61521804,-0.14356726,-0.5905263,0.6657879",0.0
"0.41922492,-0.5434863,0.30050036,-0.16322938,-0.6063165,0.61521804,-0.14356726,-0.5905263,0.6657879","0.031723738,0.28321075,-0.27602673","0.4222543,-0.50454634,0.2708467,-0.15299873,-0.58997566,0.65832764,-0.14356726,-0.5905263,0.6657879",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.13099416,0.3130994,0.7721578","0.8292434,0.87106466,0.88384104","0.07918673,0.11976691,0.0949516,0.3658202,0.09890402,0.8990122,0.13099416,0.3130994,0.7721578",0.0
"0.07918673,0.11976691,0.0949516,0.3658202,0.09890402,0.8990122,0.13099416,0.3130994,0.7721578","0.97255003,0.5494412,0.7040596","0.17205821,0.19531226,0.17058916,0.508662,0.3120309,0.7314353,0.13099416,0.3130994,0.7721578",0.0
"0.17205821,0.19531226,0.17058916,0.508662,0.3120309,0.7314353,0.13099416,0.3130994,0.7721578","0.9718232,-0.7482487,0.5384363","0.26486027,0.09243192,0.22843374,0.31297258,0.35224822,0.7965586,0.13099416,0.3130994,0.7721578",0.0
"0.26486027,0.09243192,0.22843374,0.31297258,0.35224822,0.7965586,0.13099416,0.3130994,0.7721578","0.54478276,-0.6802731,0.56159806","0.31688306,-0.0011021403,0.28876665,0.19039318,0.3042583,0.82232773,0.13099416,0.3130994,0.7721578",0.0
