uoc,state,action,next_state,reward
3,"-0.087306775,0.0030855008,0.100595236,0.14131546,-0.033748522,0.9704837,0.08456141,-0.14,0.62760717","-0.918418,-0.23657882,0.9435353","-0.17500903,-0.029442886,0.20195985,0.18026176,-0.10368209,0.9239655,0.08456141,-0.14,0.62760717",0.0
3,"-0.17500903,-0.029442886,0.20195985,0.18026176,-0.10368209,0.9239655,0.08456141,-0.14,0.62760717","-0.84038305,-0.43660188,0.9565817","-0.2552595,-0.08947342,0.30472606,0.14949058,-0.14618886,0.8670388,0.08456141,-0.14,0.62760717",0.0
3,"-0.2552595,-0.08947342,0.30472606,0.14949058,-0.14618886,0.8670388,0.08456141,-0.14,0.62760717","-0.59874,-0.47264653,0.95523524","-0.31243488,-0.15445991,0.40734768,0.113432445,-0.15927215,0.792648,0.08456141,-0.14,0.62760717",0.0
3,"-0.31243488,-0.15445991,0.40734768,0.113432445,-0.15927215,0.792648,0.08456141,-0.14,0.62760717","-0.33626014,-0.42020828,0.91499305","-0.34454527,-0.2122364,0.505646,0.09222186,-0.1612385,0.70193106,0.08456141,-0.14,0.62760717",0.0
3,"-0.34454527,-0.2122364,0.505646,0.09222186,-0.1612385,0.70193106,0.08456141,-0.14,0.62760717","0.00610435,-0.19518882,0.5023184","-0.34396237,-0.2390739,0.5596105,0.09231942,-0.16069949,0.64345706,0.08456141,-0.14,0.62760717",0.0
3,"-0.34396237,-0.2390739,0.5596105,0.09231942,-0.16069949,0.64345706,0.08456141,-0.14,0.62760717","0.060037255,-0.038898945,0.07737994","-0.33822924,-0.24442235,0.56792355,0.09417943,-0.15718065,0.63462454,0.08456141,-0.14,0.62760717",0.0
3,"-0.33822924,-0.24442235,0.56792355,0.09417943,-0.15718065,0.63462454,0.08456141,-0.14,0.62760717","0.025072932,-0.01251328,0.015755177","-0.33583495,-0.24614286,0.5696162,0.09469062,-0.15528895,0.6330945,0.08456141,-0.14,0.62760717",0.0
3,"-0.33583495,-0.24614286,0.5696162,0.09469062,-0.15528895,0.6330945,0.08456141,-0.14,0.62760717","0.009996772,-0.0054285526,0.0044385195","-0.33488032,-0.24688931,0.57009315,0.094776794,-0.15434018,0.63277787,0.08456141,-0.14,0.62760717",0.0
3,"-0.33488032,-0.24688931,0.57009315,0.094776794,-0.15434018,0.63277787,0.08456141,-0.14,0.62760717","0.0037794113,-0.002584815,0.001657486","-0.33451942,-0.24724473,0.5702713,0.09475406,-0.15388739,0.6326931,0.08456141,-0.14,0.62760717",0.0
3,"-0.33451942,-0.24724473,0.5702713,0.09475406,-0.15388739,0.6326931,0.08456141,-0.14,0.62760717","0.0010619164,-0.0013408661,0.00080013275","-0.33441803,-0.24742913,0.5703573,0.094698414,-0.15367454,0.6326574,0.08456141,-0.14,0.62760717",0.0
