state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.74719304,-0.39777777,-0.31978464","0.97336805,-0.99152315,-0.9092802","0.09294958,-0.13632934,-0.09768454,-0.39885676,-0.11385271,0.88075453,-0.74719304,-0.39777777,-0.31978464",0.0
"0.09294958,-0.13632934,-0.09768454,-0.39885676,-0.11385271,0.88075453,-0.74719304,-0.39777777,-0.31978464","0.96649075,-0.99487895,-0.7226596","0.18524243,-0.2731201,-0.17532031,-0.60434586,-0.3907112,0.60000443,-0.74719304,-0.39777777,-0.31978464",0.0
"0.18524243,-0.2731201,-0.17532031,-0.60434586,-0.3907112,0.60000443,-0.74719304,-0.39777777,-0.31978464","-0.2651646,-0.96669817,-0.9266601","0.15992114,-0.40603614,-0.274872,-0.77492994,-0.4191669,0.18531348,-0.74719304,-0.39777777,-0.31978464",0.0
"0.15992114,-0.40603614,-0.274872,-0.77492994,-0.4191669,0.18531348,-0.74719304,-0.39777777,-0.31978464","0.03832853,-0.8377079,-0.9685587","0.16358124,-0.5212167,-0.37892485,-0.7465637,-0.41478637,-0.21275645,-0.74719304,-0.39777777,-0.31978464",0.0
"0.16358124,-0.5212167,-0.37892485,-0.7465637,-0.41478637,-0.21275645,-0.74719304,-0.39777777,-0.31978464","-0.07346791,-0.43893552,-0.4553995","0.15656559,-0.58156806,-0.42784864,-0.69501626,-0.36581293,-0.3891013,-0.74719304,-0.39777777,-0.31978464",0.0
"0.15656559,-0.58156806,-0.42784864,-0.69501626,-0.36581293,-0.3891013,-0.74719304,-0.39777777,-0.31978464","0.22059846,0.053602934,0.45442486","0.17763114,-0.574198,-0.37902945,-0.7143191,-0.4390752,-0.3223706,-0.74719304,-0.39777777,-0.31978464",0.0
"0.17763114,-0.574198,-0.37902945,-0.7143191,-0.4390752,-0.3223706,-0.74719304,-0.39777777,-0.31978464","-0.2152164,0.033512473,-0.05532545","0.15707953,-0.5695903,-0.38497305,-0.73782027,-0.3902758,-0.3197959,-0.74719304,-0.39777777,-0.31978464",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.49391815,-0.5280117,0.53209","-0.87778527,0.7239617,0.8423786","-0.083822116,0.09954101,0.09049727,0.32291323,-0.08106042,0.9198971,0.49391815,-0.5280117,0.53209",0.0
"-0.083822116,0.09954101,0.09049727,0.32291323,-0.08106042,0.9198971,0.49391815,-0.5280117,0.53209","-0.9601691,0.622041,0.8335757","-0.1755113,0.18506844,0.18004884,0.5037738,-0.3030315,0.7346267,0.49391815,-0.5280117,0.53209",0.0
"-0.1755113,0.18506844,0.18004884,0.5037738,-0.3030315,0.7346267,0.49391815,-0.5280117,0.53209","-0.8498908,0.08899391,0.8075323","-0.2566697,0.19730467,0.26680255,0.46629736,-0.47789702,0.59930485,0.49391815,-0.5280117,0.53209",0.0
"-0.2566697,0.19730467,0.26680255,0.46629736,-0.47789702,0.59930485,0.49391815,-0.5280117,0.53209","-0.27554417,0.05547321,0.10510659","-0.28298217,0.20493196,0.27809426,0.43544182,-0.5273301,0.5703063,0.49391815,-0.5280117,0.53209",0.0
"-0.28298217,0.20493196,0.27809426,0.43544182,-0.5273301,0.5703063,0.49391815,-0.5280117,0.53209","0.013030767,0.22742498,-0.16321993","-0.28173783,0.23620175,0.26055944,0.45843893,-0.55121773,0.542703,0.49391815,-0.5280117,0.53209",0.0
"-0.28173783,0.23620175,0.26055944,0.45843893,-0.55121773,0.542703,0.49391815,-0.5280117,0.53209","0.20739508,0.08289349,0.006538272","-0.2619331,0.24759921,0.26126188,0.50186706,-0.5324701,0.5215226,0.49391815,-0.5280117,0.53209",0.0
