state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.048830412,-0.0057894737,0.8480616","0.76932967,0.2822907,-0.95652527","0.07346541,0.03881353,-0.10276014,-0.058417924,-0.0077805975,0.98008627,-0.048830412,-0.0057894737,0.8480616",0.0
"0.07346541,0.03881353,-0.10276014,-0.058417924,-0.0077805975,0.98008627,-0.048830412,-0.0057894737,0.8480616","0.6267674,0.4874494,-0.9608179","0.13331716,0.10583534,-0.20598146,-0.053204454,-0.017348088,0.9459959,-0.048830412,-0.0057894737,0.8480616",0.0
"0.13331716,0.10583534,-0.20598146,-0.053204454,-0.017348088,0.9459959,-0.048830412,-0.0057894737,0.8480616","0.05037141,0.46727872,-0.9421093","0.13812728,0.1700838,-0.3071929,-0.052034184,-0.017732168,0.8909392,-0.048830412,-0.0057894737,0.8480616",0.0
"0.13812728,0.1700838,-0.3071929,-0.052034184,-0.017732168,0.8909392,-0.048830412,-0.0057894737,0.8480616","-0.13779187,0.34556818,-0.6194698","0.12496916,0.21759768,-0.373743,-0.042365406,-0.011277804,0.8443158,-0.048830412,-0.0057894737,0.8480616",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.14327486,-0.118830405,0.970776","0.89467406,-0.5856658,-0.14440197","0.08543487,-0.08052604,-0.015513183,-0.18956566,-0.04613378,0.97160333,-0.14327486,-0.118830405,0.970776",0.0
"0.08543487,-0.08052604,-0.015513183,-0.18956566,-0.04613378,0.97160333,-0.14327486,-0.118830405,0.970776","0.9315108,0.082931876,-0.19966513","0.1743874,-0.06912334,-0.036963332,-0.17366178,-0.09917953,0.96925044,-0.14327486,-0.118830405,0.970776",0.0
"0.1743874,-0.06912334,-0.036963332,-0.17366178,-0.09917953,0.96925044,-0.14327486,-0.118830405,0.970776","0.5369289,0.14317966,-0.16994852","0.22566022,-0.049436886,-0.055221014,-0.14247829,-0.114573725,0.9711652,-0.14327486,-0.118830405,0.970776",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.10140351,0.37690058,0.8230218","0.9901544,0.958164,0.7457533","0.09455256,0.13174261,0.08011674,0.3661543,0.11813499,0.8993412,0.10140351,0.37690058,0.8230218",0.0
"0.09455256,0.13174261,0.08011674,0.3661543,0.11813499,0.8993412,0.10140351,0.37690058,0.8230218","0.9891176,0.5589744,-0.78590053","0.1890061,0.20859873,-0.004313066,0.3544795,0.24627471,0.88324064,0.10140351,0.37690058,0.8230218",0.0
"0.1890061,0.20859873,-0.004313066,0.3544795,0.24627471,0.88324064,0.10140351,0.37690058,0.8230218","0.949262,0.14665401,-0.5479511","0.27965373,0.22876295,-0.06317984,0.24772239,0.30785364,0.8972067,0.10140351,0.37690058,0.8230218",0.0
"0.27965373,0.22876295,-0.06317984,0.24772239,0.30785364,0.8972067,0.10140351,0.37690058,0.8230218","0.860816,0.27693653,-0.7131743","0.36185542,0.26684034,-0.13979666,0.14909232,0.33546108,0.89218986,0.10140351,0.37690058,0.8230218",0.0
"0.36185542,0.26684034,-0.13979666,0.14909232,0.33546108,0.89218986,0.10140351,0.37690058,0.8230218","0.49529254,0.39104867,-0.6684439","0.40915227,0.32060757,-0.21160805,0.09928325,0.35893464,0.86042225,0.10140351,0.37690058,0.8230218",0.0
"0.40915227,0.32060757,-0.21160805,0.09928325,0.35893464,0.86042225,0.10140351,0.37690058,0.8230218","0.0916127,0.25897682,-0.39605808","0.41790062,0.3562156,-0.2541569,0.0913984,0.3691706,0.8335614,0.10140351,0.37690058,0.8230218",0.0
