state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.048596494,-0.096432745,0.7507792","0.97208476,-0.20218152,0.9701532","0.09282704,-0.02779893,0.10422419,0.07900456,0.029760232,0.97767633,-0.048596494,-0.096432745,0.7507792",0.0
"0.09282704,-0.02779893,0.10422419,0.07900456,0.029760232,0.97767633,-0.048596494,-0.096432745,0.7507792","0.12780178,-0.9490574,0.8449993","0.10503116,-0.15828946,0.19500305,-0.06655071,-0.01667348,0.94978935,-0.048596494,-0.096432745,0.7507792",0.0
"0.10503116,-0.15828946,0.19500305,-0.06655071,-0.01667348,0.94978935,-0.048596494,-0.096432745,0.7507792","0.67966866,-0.59598553,0.83984756","0.16993456,-0.24023445,0.28522846,-0.10007424,-0.052431237,0.898691,-0.048596494,-0.096432745,0.7507792",0.0
"0.16993456,-0.24023445,0.28522846,-0.10007424,-0.052431237,0.898691,-0.048596494,-0.096432745,0.7507792","0.89971447,-0.5784967,0.8327354","0.25585076,-0.3197748,0.37468985,-0.10596522,-0.10159259,0.8307397,-0.048596494,-0.096432745,0.7507792",0.0
"0.25585076,-0.3197748,0.37468985,-0.10596522,-0.10159259,0.8307397,-0.048596494,-0.096432745,0.7507792","0.7202791,-0.40218955,0.6945896","0.32463217,-0.37507385,0.44931012,-0.083162986,-0.12430008,0.76619345,-0.048596494,-0.096432745,0.7507792",0.0
"0.32463217,-0.37507385,0.44931012,-0.083162986,-0.12430008,0.76619345,-0.048596494,-0.096432745,0.7507792","0.26062107,0.075894594,0.21189141","0.34951958,-0.36463878,0.47207382,-0.05222314,-0.08939912,0.7530203,-0.048596494,-0.096432745,0.7507792",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.22520469,0.33409357,0.89480686","0.8598349,0.6973089,-0.12081838","0.082108006,0.09587639,-0.012979613,0.18094507,0.053725608,0.9730793,0.22520469,0.33409357,0.89480686",0.0
"0.082108006,0.09587639,-0.012979613,0.18094507,0.053725608,0.9730793,0.22520469,0.33409357,0.89480686","0.97200525,0.4781828,0.10211635","0.17492746,0.16162409,-0.0020092148,0.28753537,0.18290105,0.9261417,0.22520469,0.33409357,0.89480686",0.0
"0.17492746,0.16162409,-0.0020092148,0.28753537,0.18290105,0.9261417,0.22520469,0.33409357,0.89480686","0.90455616,0.029000878,0.44366837","0.261306,0.16561157,0.04565434,0.2748581,0.30360624,0.89231783,0.22520469,0.33409357,0.89480686",0.0
"0.261306,0.16561157,0.04565434,0.2748581,0.30360624,0.89231783,0.22520469,0.33409357,0.89480686","0.39564312,-0.13713443,0.15643024","0.29908705,0.1467563,0.062459733,0.22717269,0.32060945,0.8983855,0.22520469,0.33409357,0.89480686",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.3337427,0.061578944,0.7721578","-0.40674865,0.776981,0.96227694","-0.038841538,0.10683089,0.10337802,0.36135733,-0.03848208,0.9041411,0.3337427,0.061578944,0.7721578",0.0
"-0.038841538,0.10683089,0.10337802,0.36135733,-0.03848208,0.9041411,0.3337427,0.061578944,0.7721578","0.61286354,-0.34344375,0.9557259","0.019682482,0.059609137,0.20605229,0.38718176,0.029772075,0.85537434,0.3337427,0.061578944,0.7721578",0.0
"0.019682482,0.059609137,0.20605229,0.38718176,0.029772075,0.85537434,0.3337427,0.061578944,0.7721578","-0.019418359,-0.5001641,0.77707565","0.017828166,-0.00916086,0.28953406,0.34392002,0.025080988,0.8283877,0.3337427,0.061578944,0.7721578",0.0
"0.017828166,-0.00916086,0.28953406,0.34392002,0.025080988,0.8283877,0.3337427,0.061578944,0.7721578","0.09080756,-0.015286505,0.6136279","0.026499627,-0.011262689,0.35545656,0.39787984,0.03900991,0.7512098,0.3337427,0.061578944,0.7721578",0.0
"0.026499627,-0.011262689,0.35545656,0.39787984,0.03900991,0.7512098,0.3337427,0.061578944,0.7721578","0.26580334,-0.27812254,0.17441058","0.051881917,-0.04950312,0.37419364,0.3440275,0.062442664,0.7623284,0.3337427,0.061578944,0.7721578",0.0
