state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.19444445,-0.09865497,0.47566882","-0.6244674,0.116101265,0.9664823","-0.059632104,0.01596332,0.103829816,0.17474121,-0.027232246,0.963905,0.19444445,-0.09865497,0.47566882",0.0
"-0.059632104,0.01596332,0.103829816,0.17474121,-0.027232246,0.963905,0.19444445,-0.09865497,0.47566882","-0.3170042,-0.212547,0.96424544","-0.0899037,-0.013260813,0.20741934,0.2389896,-0.063326515,0.91071165,0.19444445,-0.09865497,0.47566882",0.0
"-0.0899037,-0.013260813,0.20741934,0.2389896,-0.063326515,0.91071165,0.19444445,-0.09865497,0.47566882","-0.14324772,-0.27208406,0.9514463","-0.10358283,-0.05067099,0.30963388,0.27453944,-0.08652269,0.8385451,0.19444445,-0.09865497,0.47566882",0.0
"-0.10358283,-0.05067099,0.30963388,0.27453944,-0.08652269,0.8385451,0.19444445,-0.09865497,0.47566882","-0.12064785,-0.34461647,0.9363537","-0.11510383,-0.098054,0.41022703,0.27925718,-0.0994374,0.75533974,0.19444445,-0.09865497,0.47566882",0.0
"-0.11510383,-0.098054,0.41022703,0.27925718,-0.0994374,0.75533974,0.19444445,-0.09865497,0.47566882","-0.105002165,-0.37942183,0.91671216","-0.12513079,-0.15022257,0.5087101,0.26536396,-0.103777975,0.6622009,0.19444445,-0.09865497,0.47566882",0.0
"-0.12513079,-0.15022257,0.5087101,0.26536396,-0.103777975,0.6622009,0.19444445,-0.09865497,0.47566882","-0.14174879,-0.44494778,0.88602805","-0.13866678,-0.21140061,0.60389674,0.22953878,-0.10045533,0.5661454,0.19444445,-0.09865497,0.47566882",0.0
"-0.13866678,-0.21140061,0.60389674,0.22953878,-0.10045533,0.5661454,0.19444445,-0.09865497,0.47566882","-0.18081576,-0.33325762,0.6238904","-0.15593338,-0.25722188,0.6709217,0.19719169,-0.09858841,0.49261764,0.19444445,-0.09865497,0.47566882",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.008187135,0.0045029237,0.64963955","0.05673349,-0.6946327,0.9475175","0.005417622,-0.09550845,0.10179244,-0.06442507,0.00469321,0.9799023,-0.008187135,0.0045029237,0.64963955",0.0
"0.005417622,-0.09550845,0.10179244,-0.06442507,0.00469321,0.9799023,-0.008187135,0.0045029237,0.64963955","0.18435884,-0.50382257,0.9461098","0.023022538,-0.1647815,0.20343365,-0.07057526,0.00069087686,0.94602686,-0.008187135,0.0045029237,0.64963955",0.0
"0.023022538,-0.1647815,0.20343365,-0.07057526,0.00069087686,0.94602686,-0.008187135,0.0045029237,0.64963955","0.18148148,-0.41254497,0.94127154","0.040352687,-0.22150435,0.30455512,-0.05047592,-0.00059742545,0.8929309,-0.008187135,0.0045029237,0.64963955",0.0
"0.040352687,-0.22150435,0.30455512,-0.05047592,-0.00059742545,0.8929309,-0.008187135,0.0045029237,0.64963955","0.16918409,-0.3630985,0.92733","0.056508534,-0.27142859,0.40417883,-0.021005495,0.0021128017,0.82086205,-0.008187135,0.0045029237,0.64963955",0.0
"0.056508534,-0.27142859,0.40417883,-0.021005495,0.0021128017,0.82086205,-0.008187135,0.0045029237,0.64963955","0.04067278,-0.44231868,0.89170647","0.060392477,-0.33224517,0.4999755,-0.01746933,0.002540138,0.73327374,-0.008187135,0.0045029237,0.64963955",0.0
"0.060392477,-0.33224517,0.4999755,-0.01746933,0.002540138,0.73327374,-0.008187135,0.0045029237,0.64963955","-0.25819737,-0.29896045,0.65724397","0.035736494,-0.37335074,0.5705837,-0.008880378,0.004824647,0.6589781,-0.008187135,0.0045029237,0.64963955",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.010818714,0.039005846,0.52215254","-0.85068977,-0.68683755,0.95253265","-0.081234716,-0.094436646,0.10233122,-0.057842955,0.021073837,0.98000115,-0.010818714,0.039005846,0.52215254",0.0
