state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.42362574,-0.33701754,0.35439274","0.93997264,-0.8898654,-0.9940846","0.08976055,-0.122351915,-0.10679513,-0.38402846,-0.10523046,0.8869657,-0.42362574,-0.33701754,0.35439274",0.0
"0.08976055,-0.122351915,-0.10679513,-0.38402846,-0.10523046,0.8869657,-0.42362574,-0.33701754,0.35439274","0.85002744,-0.11606681,-0.9819322","0.17093201,-0.1383105,-0.21228474,-0.4642453,-0.2696548,0.7593498,-0.42362574,-0.33701754,0.35439274",0.0
"0.17093201,-0.1383105,-0.21228474,-0.4642453,-0.2696548,0.7593498,-0.42362574,-0.33701754,0.35439274","0.072156906,0.43249333,-0.9751917","0.17782247,-0.0788449,-0.31705025,-0.44412512,-0.2707805,0.70086604,-0.42362574,-0.33701754,0.35439274",0.0
"0.17782247,-0.0788449,-0.31705025,-0.44412512,-0.2707805,0.70086604,-0.42362574,-0.33701754,0.35439274","0.14847636,0.14600348,-0.9541196","0.1920009,-0.058770176,-0.41955194,-0.45206493,-0.30436608,0.5795642,-0.42362574,-0.33701754,0.35439274",0.0
"0.1920009,-0.058770176,-0.41955194,-0.45206493,-0.30436608,0.5795642,-0.42362574,-0.33701754,0.35439274","0.044505358,0.019594908,-0.89858073","0.19625084,-0.056075983,-0.51608706,-0.46048367,-0.31924936,0.43441546,-0.42362574,-0.33701754,0.35439274",0.0
"0.19625084,-0.056075983,-0.51608706,-0.46048367,-0.31924936,0.43441546,-0.42362574,-0.33701754,0.35439274","0.07421875,0.1595949,-0.4776566","0.20333818,-0.03413251,-0.567402,-0.43281406,-0.31423607,0.38374016,-0.42362574,-0.33701754,0.35439274",0.0
"0.20333818,-0.03413251,-0.567402,-0.43281406,-0.31423607,0.38374016,-0.42362574,-0.33701754,0.35439274","0.12141633,-0.0026522875,-0.12336069","0.21493256,-0.03449719,-0.58065474,-0.4198131,-0.3287719,0.36269805,-0.42362574,-0.33701754,0.35439274",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.05912281,0.03859649,0.224356","-0.25501472,-0.18238878,-0.98567504","-0.024352055,-0.025077512,-0.105891705,-0.19764689,0.0209565,0.95866555,-0.05912281,0.03859649,0.224356",0.0
"-0.024352055,-0.025077512,-0.105891705,-0.19764689,0.0209565,0.95866555,-0.05912281,0.03859649,0.224356","-0.55067515,0.89173603,-0.99371237","-0.07693753,0.097531624,-0.2126469,-0.07780775,0.02514406,0.9409151,-0.05912281,0.03859649,0.224356",0.0
"-0.07693753,0.097531624,-0.2126469,-0.07780775,0.02514406,0.9409151,-0.05912281,0.03859649,0.224356","-0.20890027,0.57640207,-0.98647577","-0.09688598,0.17678398,-0.31862465,-0.051276702,0.022176055,0.88335747,-0.05912281,0.03859649,0.224356",0.0
"-0.09688598,0.17678398,-0.31862465,-0.051276702,0.022176055,0.88335747,-0.05912281,0.03859649,0.224356","-0.08066636,0.47147465,-0.9856064","-0.10458902,0.24160935,-0.42450905,-0.05234235,0.023961715,0.8016602,-0.05912281,0.03859649,0.224356",0.0
"-0.10458902,0.24160935,-0.42450905,-0.05234235,0.023961715,0.8016602,-0.05912281,0.03859649,0.224356","0.009342909,0.41863072,-0.98522806","-0.10369683,0.29916894,-0.53035283,-0.06279624,0.027323732,0.6988681,-0.05912281,0.03859649,0.224356",0.0
"-0.10369683,0.29916894,-0.53035283,-0.06279624,0.027323732,0.6988681,-0.05912281,0.03859649,0.224356","0.06645405,0.3664018,-0.97937524","-0.09735094,0.34954733,-0.6355677,-0.07701978,0.030389432,0.5777314,-0.05912281,0.03859649,0.224356",0.0
"-0.09735094,0.34954733,-0.6355677,-0.07701978,0.030389432,0.5777314,-0.05912281,0.03859649,0.224356","0.115885735,0.2806636,-0.9636163","-0.08628469,0.38813716,-0.7390897,-0.09365284,0.03203599,0.4415839,-0.05912281,0.03859649,0.224356",0.0
"-0.08628469,0.38813716,-0.7390897,-0.09365284,0.03203599,0.4415839,-0.05912281,0.03859649,0.224356","0.12161684,0.19068098,-0.92266035","-0.07467116,0.41435483,-0.8382118,-0.10289226,0.030542165,0.2984468,-0.05912281,0.03859649,0.224356",0.0
"-0.07467116,0.41435483,-0.8382118,-0.10289226,0.030542165,0.2984468,-0.05912281,0.03859649,0.224356","0.046436667,0.23312318,-0.5651541","-0.07023679,0.44640812,-0.8989267,-0.087490804,0.025558101,0.21181488,-0.05912281,0.03859649,0.224356",0.0
"-0.07023679,0.44640812,-0.8989267,-0.087490804,0.025558101,0.21181488,-0.05912281,0.03859649,0.224356","-0.0037811995,0.19383705,-0.04408014","-0.07059786,0.47305977,-0.9036623,-0.07114242,0.021977238,0.20980303,-0.05912281,0.03859649,0.224356",0.0
"-0.07059786,0.47305977,-0.9036623,-0.07114242,0.021977238,0.20980303,-0.05912281,0.03859649,0.224356","-0.02508825,0.04810822,0.0059849024","-0.0729936,0.47967443,-0.9030194,-0.066764206,0.021529254,0.21196558,-0.05912281,0.03859649,0.224356",0.0
"-0.0729936,0.47967443,-0.9030194,-0.066764206,0.021529254,0.21196558,-0.05912281,0.03859649,0.224356","-0.028233588,0.012367129,0.009132981","-0.075689696,0.48137492,-0.90203834,-0.06538092,0.021803478,0.21377705,-0.05912281,0.03859649,0.224356",0.0
"-0.075689696,0.48137492,-0.90203834,-0.06538092,0.021803478,0.21377705,-0.05912281,0.03859649,0.224356","-0.026878059,0.0066980124,0.004991889","-0.078256354,0.4822959,-0.9015022,-0.064548336,0.02216562,0.21476296,-0.05912281,0.03859649,0.224356",0.0
"-0.078256354,0.4822959,-0.9015022,-0.064548336,0.02216562,0.21476296,-0.05912281,0.03859649,0.224356","-0.025512874,0.0039607286,0.0030294657","-0.08069264,0.48284057,-0.9011768,-0.0639873,0.022558149,0.21535803,-0.05912281,0.03859649,0.224356",0.0
"-0.08069264,0.48284057,-0.9011768,-0.0639873,0.022558149,0.21535803,-0.05912281,0.03859649,0.224356","-0.024178147,0.002619505,0.0020645857","-0.08300147,0.4832008,-0.9009551,-0.06356308,0.02295255,0.21576135,-0.05912281,0.03859649,0.224356",0.0
"-0.08300147,0.4832008,-0.9009551,-0.06356308,0.02295255,0.21576135,-0.05912281,0.03859649,0.224356","-0.022895873,0.0019378662,0.0015743971","-0.085187845,0.48346728,-0.90078604,-0.063211575,0.02333584,0.21606742,-0.05912281,0.03859649,0.224356",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.22274855,-0.4933918,0.35439274","-0.81922925,0.9302225,-0.93547946","-0.07823043,0.12790082,-0.1004992,0.13267165,-0.027310735,0.9720889,0.22274855,-0.4933918,0.35439274",0.0
"-0.07823043,0.12790082,-0.1004992,0.13267165,-0.027310735,0.9720889,0.22274855,-0.4933918,0.35439274","-0.87867814,0.89507914,-0.8519007","-0.16213782,0.25096965,-0.19201948,0.23239999,-0.12317254,0.9126482,0.22274855,-0.4933918,0.35439274",0.0
"-0.16213782,0.25096965,-0.19201948,0.23239999,-0.12317254,0.9126482,0.22274855,-0.4933918,0.35439274","-0.96331054,0.9003377,-0.86450106","-0.254127,0.3747615,-0.28489345,0.26346448,-0.262092,0.8187015,0.22274855,-0.4933918,0.35439274",0.0
"-0.254127,0.3747615,-0.28489345,0.26346448,-0.262092,0.8187015,0.22274855,-0.4933918,0.35439274","-0.93050086,0.90755177,-0.8882277","-0.34298307,0.49954522,-0.3803164,0.2191667,-0.3954431,0.6963182,0.22274855,-0.4933918,0.35439274",0.0
"-0.34298307,0.49954522,-0.3803164,0.2191667,-0.3954431,0.6963182,0.22274855,-0.4933918,0.35439274","-0.6666969,0.88180757,-0.79965466","-0.4066478,0.62078923,-0.46622384,0.15266113,-0.48550832,0.5588081,0.22274855,-0.4933918,0.35439274",0.0
"-0.4066478,0.62078923,-0.46622384,0.15266113,-0.48550832,0.5588081,0.22274855,-0.4933918,0.35439274","0.16226697,0.8067094,-0.51190877","-0.39115247,0.7317077,-0.5212186,0.1946657,-0.5296495,0.42126483,0.22274855,-0.4933918,0.35439274",0.0
