state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.5872515,-0.31122807,0.3481818","-0.66926247,0.979627,0.8661041","-0.0639097,0.13469367,0.093046114,0.39906847,-0.075310804,0.88625,0.5872515,-0.31122807,0.3481818",0.0
"-0.0639097,0.13469367,0.093046114,0.39906847,-0.075310804,0.88625,0.5872515,-0.31122807,0.3481818","-0.06945819,0.8545693,0.9066253","-0.07054245,0.2521926,0.19044544,0.68402,-0.14818674,0.61537313,0.5872515,-0.31122807,0.3481818",0.0
"-0.07054245,0.2521926,0.19044544,0.68402,-0.14818674,0.61537313,0.5872515,-0.31122807,0.3481818","-0.5175676,0.585683,0.83020806","-0.119966395,0.332721,0.2796352,0.7711101,-0.298984,0.33091074,0.5872515,-0.31122807,0.3481818",0.0
"-0.119966395,0.332721,0.2796352,0.7711101,-0.298984,0.33091074,0.5872515,-0.31122807,0.3481818","-0.75125194,-0.7475556,0.918291","-0.19170551,0.22993597,0.37828782,0.61110735,-0.41308805,0.37351742,0.5872515,-0.31122807,0.3481818",0.0
"-0.19170551,0.22993597,0.37828782,0.61110735,-0.41308805,0.37351742,0.5872515,-0.31122807,0.3481818","0.2697003,-0.51280314,0.70444727","-0.16595109,0.15942821,0.45396706,0.582092,-0.32765272,0.3763791,0.5872515,-0.31122807,0.3481818",0.0
"-0.16595109,0.15942821,0.45396706,0.582092,-0.32765272,0.3763791,0.5872515,-0.31122807,0.3481818","0.08077896,0.0025855303,0.17503583","-0.15823728,0.15978372,0.47277132,0.5885066,-0.31271723,0.34652612,0.5872515,-0.31122807,0.3481818",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.14070176,0.5319298,0.34138253","-0.91140455,-0.9192211,0.844697","-0.087032534,-0.12638819,0.09074636,-0.13875063,0.044924386,0.9724494,-0.14070176,0.5319298,0.34138253",0.0
"-0.087032534,-0.12638819,0.09074636,-0.13875063,0.044924386,0.9724494,-0.14070176,0.5319298,0.34138253","-0.6533131,-0.9248314,0.93857145","-0.1494192,-0.2535478,0.19157773,-0.237068,0.12673925,0.9109663,-0.14070176,0.5319298,0.34138253",0.0
"-0.1494192,-0.2535478,0.19157773,-0.237068,0.12673925,0.9109663,-0.14070176,0.5319298,0.34138253","-0.84251076,-0.03147304,0.7306266","-0.22987288,-0.25787523,0.27006948,-0.122556694,0.11567653,0.8980782,-0.14070176,0.5319298,0.34138253",0.0
"-0.22987288,-0.25787523,0.27006948,-0.122556694,0.11567653,0.8980782,-0.14070176,0.5319298,0.34138253","-0.8879568,-0.98744416,0.29791927","-0.3146663,-0.39364377,0.30207524,-0.20511761,0.32207885,0.80185175,-0.14070176,0.5319298,0.34138253",0.0
"-0.3146663,-0.39364377,0.30207524,-0.20511761,0.32207885,0.80185175,-0.14070176,0.5319298,0.34138253","-0.8291493,-0.9482208,0.5719918","-0.39384407,-0.52401924,0.36352476,-0.16266388,0.48722136,0.6654411,-0.14070176,0.5319298,0.34138253",0.0
"-0.39384407,-0.52401924,0.36352476,-0.16266388,0.48722136,0.6654411,-0.14070176,0.5319298,0.34138253","-0.24602532,-0.8793397,0.9014926","-0.4173377,-0.644924,0.4603727,-0.1351677,0.53129154,0.52689034,-0.14070176,0.5319298,0.34138253",0.0
"-0.4173377,-0.644924,0.4603727,-0.1351677,0.53129154,0.52689034,-0.14070176,0.5319298,0.34138253","-0.046752274,-0.74407583,0.5250629","-0.4218022,-0.74723065,0.51678056,-0.13698776,0.5701682,0.39834654,-0.14070176,0.5319298,0.34138253",0.0
"-0.4218022,-0.74723065,0.51678056,-0.13698776,0.5701682,0.39834654,-0.14070176,0.5319298,0.34138253","0.0838052,-0.37318885,0.5873687","-0.4137994,-0.7985422,0.579882,-0.14108312,0.5298217,0.34249064,-0.14070176,0.5319298,0.34138253",0.0
