uoc,state,action,next_state,reward
7,"0.32069856,0.6781009,0.8875257,0.06332694,0.111115925,-0.45045316,0.068888895,0.094853796,-0.44393736","-0.10441387,0.11679387,0.07154548","0.3107278,0.6941595,0.8952119,0.056983214,0.094597325,-0.44614372,0.068888895,0.094853796,-0.44393736",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.029707603,-0.02368421,-0.30644754","-0.33553886,0.94639134,0.9121325","-0.03204152,0.13012394,0.09799097,0.40152007,-0.034736082,0.88668776,0.029707603,-0.02368421,-0.30644754",0.0
7,"-0.03204152,0.13012394,0.09799097,0.40152007,-0.034736082,0.88668776,0.029707603,-0.02368421,-0.30644754","-0.3935058,0.9180857,0.9914079","-0.06961846,0.25635603,0.20449853,0.69873905,-0.14937721,0.5885805,0.029707603,-0.02368421,-0.30644754",0.0
7,"-0.06961846,0.25635603,0.20449853,0.69873905,-0.14937721,0.5885805,0.029707603,-0.02368421,-0.30644754","0.09502995,0.93848133,0.9888816","-0.060543794,0.3853924,0.3107347,0.84904027,-0.15757136,0.17361332,0.029707603,-0.02368421,-0.30644754",0.0
7,"-0.060543794,0.3853924,0.3107347,0.84904027,-0.15757136,0.17361332,0.029707603,-0.02368421,-0.30644754","0.7877848,0.9415796,0.99024963","0.01468394,0.5148548,0.4171178,0.82113594,0.0437025,-0.24642164,0.029707603,-0.02368421,-0.30644754",0.0
7,"0.01468394,0.5148548,0.4171178,0.82113594,0.0437025,-0.24642164,0.029707603,-0.02368421,-0.30644754","-0.8835182,0.84473205,0.7163907","-0.06968564,0.6310012,0.49408004,0.6579047,-0.14044593,-0.52949524,0.029707603,-0.02368421,-0.30644754",0.0
7,"-0.06968564,0.6310012,0.49408004,0.6579047,-0.14044593,-0.52949524,0.029707603,-0.02368421,-0.30644754","-0.14065832,0.80051565,0.97955227","-0.083117485,0.741068,0.5993139,0.40671343,-0.1026904,-0.6962377,0.029707603,-0.02368421,-0.30644754",0.0
7,"-0.083117485,0.741068,0.5993139,0.40671343,-0.1026904,-0.6962377,0.029707603,-0.02368421,-0.30644754","-0.38469416,0.60007095,0.9924761","-0.11985298,0.8235747,0.7059362,0.17726918,-0.0638655,-0.6946013,0.029707603,-0.02368421,-0.30644754",0.0
7,"-0.11985298,0.8235747,0.7059362,0.17726918,-0.0638655,-0.6946013,0.029707603,-0.02368421,-0.30644754","-0.7216438,-0.5955466,0.9301894","-0.18876474,0.7416902,0.8058669,0.13695107,-0.08531554,-0.5618166,0.029707603,-0.02368421,-0.30644754",0.0
7,"-0.18876474,0.7416902,0.8058669,0.13695107,-0.08531554,-0.5618166,0.029707603,-0.02368421,-0.30644754","-0.091169536,0.040755987,0.9720756","-0.19747075,0.747294,0.9102975,0.055750336,-0.03271672,-0.43826446,0.029707603,-0.02368421,-0.30644754",0.0
7,"-0.19747075,0.747294,0.9102975,0.055750336,-0.03271672,-0.43826446,0.029707603,-0.02368421,-0.30644754","-0.38248742,-0.5221968,0.7991078","-0.23399553,0.67549473,0.99614614,0.0358491,-0.024608845,-0.31104514,0.029707603,-0.02368421,-0.30644754",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.4829825,0.15970759,-0.6336642","-0.57633394,-0.96637034,-0.88996696","-0.055035714,-0.13287094,-0.09560972,-0.39849752,0.07547196,0.8859448,-0.4829825,0.15970759,-0.6336642",0.0
7,"-0.055035714,-0.13287094,-0.09560972,-0.39849752,0.07547196,0.8859448,-0.4829825,0.15970759,-0.6336642","-0.6617552,-0.98101705,-0.9540132","-0.11822853,-0.26775578,-0.19809994,-0.67469305,0.2690093,0.5775975,-0.4829825,0.15970759,-0.6336642",0.0
7,"-0.11822853,-0.26775578,-0.19809994,-0.67469305,0.2690093,0.5775975,-0.4829825,0.15970759,-0.6336642","0.26205075,-0.9690144,-0.7210078","-0.09320459,-0.40099028,-0.27555826,-0.83886546,0.2589453,0.1950706,-0.4829825,0.15970759,-0.6336642",0.0
7,"-0.09320459,-0.40099028,-0.27555826,-0.83886546,0.2589453,0.1950706,-0.4829825,0.15970759,-0.6336642","0.41253257,-0.97741216,-0.96811473","-0.053810723,-0.53537947,-0.37956336,-0.8373634,0.14879514,-0.24300018,-0.4829825,0.15970759,-0.6336642",0.0
7,"-0.053810723,-0.53537947,-0.37956336,-0.8373634,0.14879514,-0.24300018,-0.4829825,0.15970759,-0.6336642","-0.3969673,-0.7548554,-0.9344767","-0.09171822,-0.63916826,-0.47995475,-0.6544436,0.20000885,-0.53450954,-0.4829825,0.15970759,-0.6336642",0.0
7,"-0.09171822,-0.63916826,-0.47995475,-0.6544436,0.20000885,-0.53450954,-0.4829825,0.15970759,-0.6336642","-0.0973323,-0.2842179,-0.7698577","-0.10101275,-0.6782468,-0.562661,-0.50866187,0.17315954,-0.6244925,-0.4829825,0.15970759,-0.6336642",0.0
7,"-0.10101275,-0.6782468,-0.562661,-0.50866187,0.17315954,-0.6244925,-0.4829825,0.15970759,-0.6336642","0.04615867,0.020814657,-0.14637965","-0.096604936,-0.67538494,-0.57838655,-0.49280736,0.16039856,-0.6225656,-0.4829825,0.15970759,-0.6336642",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.09017544,-0.37976608,-0.74957925","0.71574557,-0.9729669,-0.95078534","0.068348505,-0.13377795,-0.102143474,-0.40671006,-0.08277232,0.87955904,-0.09017544,-0.37976608,-0.74957925",0.0
7,"0.068348505,-0.13377795,-0.102143474,-0.40671006,-0.08277232,0.87955904,-0.09017544,-0.37976608,-0.74957925","0.77676594,-0.9502338,-0.9499414","0.142524,-0.26443022,-0.20419627,-0.6563556,-0.30881673,0.5748296,-0.09017544,-0.37976608,-0.74957925",0.0
7,"0.142524,-0.26443022,-0.20419627,-0.6563556,-0.30881673,0.5748296,-0.09017544,-0.37976608,-0.74957925","0.83756113,-0.9848304,-0.89974433","0.22250502,-0.39983937,-0.30085638,-0.67232376,-0.55760396,0.15827626,-0.09017544,-0.37976608,-0.74957925",0.0
7,"0.22250502,-0.39983937,-0.30085638,-0.67232376,-0.55760396,0.15827626,-0.09017544,-0.37976608,-0.74957925","0.8079717,-0.71075064,-0.89294606","0.29966044,-0.49756396,-0.3967861,-0.50104564,-0.67825323,-0.18641913,-0.09017544,-0.37976608,-0.74957925",0.0
7,"0.29966044,-0.49756396,-0.3967861,-0.50104564,-0.67825323,-0.18641913,-0.09017544,-0.37976608,-0.74957925","0.7170985,-0.81017464,-0.9809322","0.36813813,-0.60895884,-0.50216824,-0.2787308,-0.61953074,-0.4980334,-0.09017544,-0.37976608,-0.74957925",0.0
