state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.60029244,-0.0057894737,-0.4906826","0.48110974,0.9797971,0.9819803","0.045942493,0.13471706,0.10549477,0.41553128,0.06624478,0.87572247,0.60029244,-0.0057894737,-0.4906826",0.0
"0.045942493,0.13471706,0.10549477,0.41553128,0.06624478,0.87572247,0.60029244,-0.0057894737,-0.4906826","-0.35956186,0.9758723,0.93283105","0.011606947,0.2688945,0.20570938,0.7315027,0.03247844,0.5647334,0.60029244,-0.0057894737,-0.4906826",0.0
"0.011606947,0.2688945,0.20570938,0.7315027,0.03247844,0.5647334,0.60029244,-0.0057894737,-0.4906826","-0.54017085,0.9811113,0.7593143","-0.03997545,0.4037923,0.287283,0.87183845,-0.10423529,0.1708472,0.60029244,-0.0057894737,-0.4906826",0.0
"-0.03997545,0.4037923,0.287283,0.87183845,-0.10423529,0.1708472,0.60029244,-0.0057894737,-0.4906826","0.031647205,0.9830563,0.55135715","-0.036953367,0.5389575,0.3465156,0.87109566,-0.09575587,-0.20841756,0.60029244,-0.0057894737,-0.4906826",0.0
"-0.036953367,0.5389575,0.3465156,0.87109566,-0.09575587,-0.20841756,0.60029244,-0.0057894737,-0.4906826","0.29098523,0.97105694,0.43968165","-0.009166389,0.6724729,0.39375082,0.7631796,-0.016191218,-0.53003305,0.60029244,-0.0057894737,-0.4906826",0.0
"-0.009166389,0.6724729,0.39375082,0.7631796,-0.016191218,-0.53003305,0.60029244,-0.0057894737,-0.4906826","-0.0021395087,-0.13612682,0.7485541","-0.009370696,0.6537562,0.47416842,0.6794658,-0.0142162535,-0.5552702,0.60029244,-0.0057894737,-0.4906826",0.0
"-0.009370696,0.6537562,0.47416842,0.6794658,-0.0142162535,-0.5552702,0.60029244,-0.0057894737,-0.4906826","-0.016241372,-0.30062693,0.54844594","-0.010921628,0.61242163,0.5330882,0.6361621,-0.01604299,-0.5207525,0.60029244,-0.0057894737,-0.4906826",0.0
"-0.010921628,0.61242163,0.5330882,0.6361621,-0.01604299,-0.5207525,0.60029244,-0.0057894737,-0.4906826","-0.007293582,-0.13580686,0.24415839","-0.011618111,0.593749,0.5593183,0.6155387,-0.0166833,-0.50435084,0.60029244,-0.0057894737,-0.4906826",0.0
"-0.011618111,0.593749,0.5593183,0.6155387,-0.0166833,-0.50435084,0.60029244,-0.0057894737,-0.4906826","0.0038057566,-0.05329311,0.06739187","-0.011254688,0.5864215,0.5665582,0.6113204,-0.01583062,-0.49652854,0.60029244,-0.0057894737,-0.4906826",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.08883041,-0.07649123,-0.44393736","-0.9442473,0.9886768,0.9899626","-0.09016876,0.13593797,0.10635231,0.40881416,-0.1129773,0.8737186,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.09016876,0.13593797,0.10635231,0.40881416,-0.1129773,0.8737186,-0.08883041,-0.07649123,-0.44393736","-0.9417397,0.9815335,0.99197173","-0.18009806,0.2708938,0.21292044,0.6267149,-0.39113906,0.5507676,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.18009806,0.2708938,0.21292044,0.6267149,-0.39113906,0.5507676,-0.08883041,-0.07649123,-0.44393736","-0.92167675,0.9772954,0.9912851","-0.2681115,0.4052669,0.31941482,0.58464336,-0.64657605,0.118192896,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.2681115,0.4052669,0.31941482,0.58464336,-0.64657605,0.118192896,-0.08883041,-0.07649123,-0.44393736","-0.9215701,0.9775741,0.9891205","-0.35611475,0.53967834,0.42567658,0.35744274,-0.7228952,-0.30546412,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.35611475,0.53967834,0.42567658,0.35744274,-0.7228952,-0.30546412,-0.08883041,-0.07649123,-0.44393736","-0.9222591,0.94738007,0.9840853","-0.4441838,0.66993827,0.53139746,0.10837514,-0.57851934,-0.6061207,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.4441838,0.66993827,0.53139746,0.10837514,-0.57851934,-0.6061207,-0.08883041,-0.07649123,-0.44393736","-0.97318095,0.647511,0.9701872","-0.5371155,0.75896776,0.6356252,-0.03493192,-0.34797868,-0.7007109,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.5371155,0.75896776,0.6356252,-0.03493192,-0.34797868,-0.7007109,-0.08883041,-0.07649123,-0.44393736","-0.8503334,-0.14338899,0.9425206","-0.6183162,0.73925257,0.73688066,-0.08225623,-0.2269474,-0.6237987,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.6183162,0.73925257,0.73688066,-0.08225623,-0.2269474,-0.6237987,-0.08883041,-0.07649123,-0.44393736","-0.5511647,-0.42496252,0.8466878","-0.6709484,0.6808225,0.82784086,-0.09096314,-0.16408443,-0.5139725,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.6709484,0.6808225,0.82784086,-0.09096314,-0.16408443,-0.5139725,-0.08883041,-0.07649123,-0.44393736","-0.41734385,-0.37425357,0.5639987","-0.7108017,0.6293646,0.8884316,-0.09237308,-0.12788351,-0.4324918,-0.08883041,-0.07649123,-0.44393736",0.0
"-0.7108017,0.6293646,0.8884316,-0.09237308,-0.12788351,-0.4324918,-0.08883041,-0.07649123,-0.44393736","-0.27458328,0.033310175,0.13548875","-0.73702246,0.6339447,0.90298724,-0.09052797,-0.10676983,-0.4188697,-0.08883041,-0.07649123,-0.44393736",0.0
