state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.1966082,0.752807,-0.23054375","-0.8596019,-0.9976402,-0.9680847","-0.08208575,-0.13717039,-0.104001954,-0.40827128,0.11366996,0.8744905,0.1966082,0.752807,-0.23054375",0.0
"-0.08208575,-0.13717039,-0.104001954,-0.40827128,0.11366996,0.8744905,0.1966082,0.752807,-0.23054375","-0.9697787,-0.9936094,-0.9800471","-0.17469259,-0.2737866,-0.20928901,-0.6288139,0.3912898,0.5507978,0.1966082,0.752807,-0.23054375",0.0
"-0.17469259,-0.2737866,-0.20928901,-0.6288139,0.3912898,0.5507978,0.1966082,0.752807,-0.23054375","-0.99142647,-0.98253924,-0.8131666","-0.26936662,-0.4088807,-0.29664803,-0.5783078,0.6620736,0.1454502,0.1966082,0.752807,-0.23054375",0.0
"-0.26936662,-0.4088807,-0.29664803,-0.5783078,0.6620736,0.1454502,0.1966082,0.752807,-0.23054375","-0.98965174,-0.66161764,-0.3442729","-0.3638712,-0.49984977,-0.33363345,-0.363092,0.81058,-0.10666179,0.1966082,0.752807,-0.23054375",0.0
"-0.3638712,-0.49984977,-0.33363345,-0.363092,0.81058,-0.10666179,0.1966082,0.752807,-0.23054375","-0.9645885,0.55679345,-0.80319166","-0.45598236,-0.4232936,-0.4199208,-0.1082299,0.81968164,-0.065228984,0.1966082,0.752807,-0.23054375",0.0
"-0.45598236,-0.4232936,-0.4199208,-0.1082299,0.81968164,-0.065228984,0.1966082,0.752807,-0.23054375","-0.85819536,0.008851767,-0.8119327","-0.53793377,-0.42207658,-0.50714725,0.095353514,0.74761826,-0.17134498,0.1966082,0.752807,-0.23054375",0.0
"-0.53793377,-0.42207658,-0.50714725,0.095353514,0.74761826,-0.17134498,0.1966082,0.752807,-0.23054375","-0.65414464,-0.045531034,-0.37144625","-0.60039985,-0.42833692,-0.54705197,0.2262602,0.6747188,-0.22460128,0.1966082,0.752807,-0.23054375",0.0
"-0.60039985,-0.42833692,-0.54705197,0.2262602,0.6747188,-0.22460128,0.1966082,0.752807,-0.23054375","0.1263349,-0.4066307,0.52639055","-0.5883358,-0.4842466,-0.49050152,0.2132829,0.7275699,-0.2682177,0.1966082,0.752807,-0.23054375",0.0
"-0.5883358,-0.4842466,-0.49050152,0.2132829,0.7275699,-0.2682177,0.1966082,0.752807,-0.23054375","-0.04533589,-0.024768114,0.33790612","-0.5926651,-0.48765215,-0.45420003,0.23342119,0.75885177,-0.23555031,0.1966082,0.752807,-0.23054375",0.0
"-0.5926651,-0.48765215,-0.45420003,0.23342119,0.75885177,-0.23555031,0.1966082,0.752807,-0.23054375","-0.008162379,-0.17923313,0.20685792","-0.59344447,-0.51229584,-0.43197715,0.2396517,0.77274436,-0.25853044,0.1966082,0.752807,-0.23054375",0.0
"-0.59344447,-0.51229584,-0.43197715,0.2396517,0.77274436,-0.25853044,0.1966082,0.752807,-0.23054375","0.049793005,-0.032637715,0.20480514","-0.5886896,-0.5167834,-0.4099748,0.23338138,0.7947619,-0.24184486,0.1966082,0.752807,-0.23054375",0.0
