state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.11415205,0.42725146,0.46932715","0.9511522,0.7555034,0.9203627","0.09082814,0.103877835,0.09887514,0.3361047,0.10462962,0.9101626,0.11415205,0.42725146,0.46932715",0.0
"0.09082814,0.103877835,0.09887514,0.3361047,0.10462962,0.9101626,0.11415205,0.42725146,0.46932715","0.9681046,0.18473625,0.8917403","0.1832751,0.12927811,0.19467539,0.42047462,0.27985263,0.7916609,0.11415205,0.42725146,0.46932715",0.0
"0.1832751,0.12927811,0.19467539,0.42047462,0.27985263,0.7916609,0.11415205,0.42725146,0.46932715","0.9583354,-0.34111094,0.8701186","0.27478918,0.08237712,0.2881528,0.32370308,0.3874082,0.73489845,0.11415205,0.42725146,0.46932715",0.0
"0.27478918,0.08237712,0.2881528,0.32370308,0.3874082,0.73489845,0.11415205,0.42725146,0.46932715","0.88862526,-0.3594743,0.8923564","0.35964644,0.032951254,0.38401926,0.20418684,0.4462387,0.6643103,0.11415205,0.42725146,0.46932715",0.0
"0.35964644,0.032951254,0.38401926,0.20418684,0.4462387,0.6643103,0.11415205,0.42725146,0.46932715","0.6642568,-0.38084078,0.9173062","0.42307815,-0.019412395,0.4825661,0.10483105,0.44952014,0.580704,0.11415205,0.42725146,0.46932715",0.0
"0.42307815,-0.019412395,0.4825661,0.10483105,0.44952014,0.580704,0.11415205,0.42725146,0.46932715","0.13289833,-0.2157126,0.76274467","0.435769,-0.049071774,0.56450826,0.083438225,0.4367593,0.48794338,0.11415205,0.42725146,0.46932715",0.0
"0.435769,-0.049071774,0.56450826,0.083438225,0.4367593,0.48794338,0.11415205,0.42725146,0.46932715","-0.18416226,0.011222124,0.097023845","0.41818282,-0.047528796,0.5749316,0.108201005,0.43442252,0.47005367,0.11415205,0.42725146,0.46932715",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.19748539,0.22304092,0.5737357","-0.69513285,-0.97689056,0.832837","-0.06638016,-0.13431744,0.08947224,-0.15959722,0.039690692,0.9693854,-0.19748539,0.22304092,0.5737357",0.0
"-0.06638016,-0.13431744,0.08947224,-0.15959722,0.039690692,0.9693854,-0.19748539,0.22304092,0.5737357","-0.63310885,-0.9518244,0.8471205","-0.12683746,-0.26518843,0.18047898,-0.28117424,0.12465393,0.9019802,-0.19748539,0.22304092,0.5737357",0.0
"-0.12683746,-0.26518843,0.18047898,-0.28117424,0.12465393,0.9019802,-0.19748539,0.22304092,0.5737357","-0.5906483,-0.8372188,0.8892937","-0.1832401,-0.38030174,0.27601644,-0.32739937,0.2193812,0.8129662,-0.19748539,0.22304092,0.5737357",0.0
"-0.1832401,-0.38030174,0.27601644,-0.32739937,0.2193812,0.8129662,-0.19748539,0.22304092,0.5737357","-0.3386433,-0.5846009,0.91444707","-0.21557808,-0.46068144,0.37425613,-0.30592063,0.25343162,0.73665607,-0.19748539,0.22304092,0.5737357",0.0
"-0.21557808,-0.46068144,0.37425613,-0.30592063,0.25343162,0.73665607,-0.19748539,0.22304092,0.5737357","-0.1584109,-0.41269243,0.9041774","-0.23070517,-0.5174245,0.47139254,-0.26084426,0.23872766,0.6674532,-0.19748539,0.22304092,0.5737357",0.0
"-0.23070517,-0.5174245,0.47139254,-0.26084426,0.23872766,0.6674532,-0.19748539,0.22304092,0.5737357","-0.15371937,-0.2807086,0.743947","-0.24538426,-0.55602056,0.5513153,-0.21300726,0.21498926,0.60489005,-0.19748539,0.22304092,0.5737357",0.0
"-0.24538426,-0.55602056,0.5513153,-0.21300726,0.21498926,0.60489005,-0.19748539,0.22304092,0.5737357","-0.13784856,-0.11405295,0.24705458","-0.25854778,-0.5717023,0.57785654,-0.19491328,0.2140901,0.5795036,-0.19748539,0.22304092,0.5737357",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.25760236,-0.13280702,0.43591902","-0.5915803,0.19021726,0.9752723","-0.05649162,0.026153887,0.104774125,0.19735558,-0.029516496,0.958741,0.25760236,-0.13280702,0.43591902",0.0
"-0.05649162,0.026153887,0.104774125,0.19735558,-0.029516496,0.958741,0.25760236,-0.13280702,0.43591902","-0.38975596,-0.06548637,0.9691489","-0.09371049,0.01714984,0.20889042,0.29767922,-0.08421039,0.888795,0.25760236,-0.13280702,0.43591902",0.0
"-0.09371049,0.01714984,0.20889042,0.29767922,-0.08421039,0.888795,0.25760236,-0.13280702,0.43591902","-0.15002394,-0.26023602,0.95908856","-0.10803668,-0.018631289,0.31192598,0.33103564,-0.1107396,0.8111016,0.25760236,-0.13280702,0.43591902",0.0
"-0.10803668,-0.018631289,0.31192598,0.33103564,-0.1107396,0.8111016,0.25760236,-0.13280702,0.43591902","-0.15574169,-0.26196098,0.9404893","-0.12290888,-0.05464959,0.41296336,0.34575635,-0.13431393,0.7164319,0.25760236,-0.13280702,0.43591902",0.0
"-0.12290888,-0.05464959,0.41296336,0.34575635,-0.13431393,0.7164319,0.25760236,-0.13280702,0.43591902","-0.0830757,-0.31266892,0.91730285","-0.13084202,-0.09763997,0.5115098,0.33623615,-0.14024454,0.6165216,0.25760236,-0.13280702,0.43591902",0.0
"-0.13084202,-0.09763997,0.5115098,0.33623615,-0.14024454,0.6165216,0.25760236,-0.13280702,0.43591902","-0.08316445,-0.4168173,0.8819492","-0.13878363,-0.1549502,0.6062582,0.29657808,-0.13179082,0.52295965,0.25760236,-0.13280702,0.43591902",0.0
"-0.13878363,-0.1549502,0.6062582,0.29657808,-0.13179082,0.52295965,0.25760236,-0.13280702,0.43591902","-0.17648429,-0.2799896,0.61551034","-0.15563661,-0.19344735,0.6723829,0.26248977,-0.13309665,0.4502771,0.25760236,-0.13280702,0.43591902",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.007953216,-0.022748537,0.9189313","-0.5103037,-0.8004057,0.90926504","-0.04873031,-0.110051684,0.09768295,-0.09912712,0.021152781,0.97731405,-0.007953216,-0.022748537,0.9189313",0.0
"-0.04873031,-0.110051684,0.09768295,-0.09912712,0.021152781,0.97731405,-0.007953216,-0.022748537,0.9189313","-0.7147993,-0.34039068,0.8018515","-0.11698848,-0.15685369,0.18382642,-0.073234804,0.034400724,0.9532618,-0.007953216,-0.022748537,0.9189313",0.0
"-0.11698848,-0.15685369,0.18382642,-0.073234804,0.034400724,0.9532618,-0.007953216,-0.022748537,0.9189313","-0.85017705,-0.030679286,0.5019386","-0.19817424,-0.16107197,0.23775007,-0.009951988,0.0142699005,0.9326271,-0.007953216,-0.022748537,0.9189313",0.0
"-0.19817424,-0.16107197,0.23775007,-0.009951988,0.0142699005,0.9326271,-0.007953216,-0.022748537,0.9189313","-0.91974837,-0.08153516,0.24691796","-0.28600353,-0.17228268,0.26427668,0.0018547764,0.0069655823,0.91864353,-0.007953216,-0.022748537,0.9189313",0.0
"-0.28600353,-0.17228268,0.26427668,0.0018547764,0.0069655823,0.91864353,-0.007953216,-0.022748537,0.9189313","-0.97182703,-0.034585774,0.08924794","-0.37880597,-0.17703809,0.27386472,0.004850292,0.0034614133,0.9131945,-0.007953216,-0.022748537,0.9189313",0.0
"-0.37880597,-0.17703809,0.27386472,0.004850292,0.0034614133,0.9131945,-0.007953216,-0.022748537,0.9189313","-0.9716625,0.033802032,0.031255603","-0.4715927,-0.17239054,0.2772226,0.0068599153,-0.011707833,0.9111487,-0.007953216,-0.022748537,0.9189313",0.0
"-0.4715927,-0.17239054,0.2772226,0.0068599153,-0.011707833,0.9111487,-0.007953216,-0.022748537,0.9189313","-0.9641328,-0.011632621,0.043630004","-0.5636604,-0.17399,0.28190985,0.0026768772,-0.015934974,0.9083338,-0.007953216,-0.022748537,0.9189313",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.13847953,0.20134503,0.8102732","-0.7900373,-0.85303134,0.84501004","-0.075442836,-0.11728744,0.09078,-0.12139573,0.035278928,0.97546947,-0.13847953,0.20134503,0.8102732",0.0
"-0.075442836,-0.11728744,0.09078,-0.12139573,0.035278928,0.97546947,-0.13847953,0.20134503,0.8102732","-0.8221031,-0.74508935,0.8568218","-0.15394773,-0.21973343,0.18282895,-0.18533589,0.10388663,0.9309065,-0.13847953,0.20134503,0.8102732",0.0
"-0.15394773,-0.21973343,0.18282895,-0.18533589,0.10388663,0.9309065,-0.13847953,0.20134503,0.8102732","-0.7480463,-0.56153154,0.8389349","-0.22538073,-0.29694116,0.27295634,-0.17944404,0.16125262,0.8778629,-0.13847953,0.20134503,0.8102732",0.0
"-0.22538073,-0.29694116,0.27295634,-0.17944404,0.16125262,0.8778629,-0.13847953,0.20134503,0.8102732","-0.5011027,-0.34696025,0.6384206","-0.2732324,-0.34464645,0.34154233,-0.15076251,0.1834054,0.8331474,-0.13847953,0.20134503,0.8102732",0.0
