state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.36298248,-0.5661988,0.037113562","-0.817009,0.97554874,0.027881145","-0.07801842,0.13413294,0.0029952691,0.2835297,-0.06495228,0.94483507,0.36298248,-0.5661988,0.037113562",0.0
"-0.07801842,0.13413294,0.0029952691,0.2835297,-0.06495228,0.94483507,0.36298248,-0.5661988,0.037113562","-0.9795072,0.98333454,-0.7739824","-0.17155424,0.26933643,-0.080154195,0.39081037,-0.22696298,0.86419135,0.36298248,-0.5661988,0.037113562",0.0
"-0.17155424,0.26933643,-0.080154195,0.39081037,-0.22696298,0.86419135,0.36298248,-0.5661988,0.037113562","-0.98398536,0.994823,-0.9865916","-0.2655177,0.4061195,-0.1861444,0.381752,-0.4122976,0.753315,0.36298248,-0.5661988,0.037113562",0.0
"-0.2655177,0.4061195,-0.1861444,0.381752,-0.4122976,0.753315,0.36298248,-0.5661988,0.037113562","-0.7875798,0.9924786,-0.989701","-0.34072584,0.54258025,-0.29246864,0.31072527,-0.55620867,0.6122355,0.36298248,-0.5661988,0.037113562",0.0
"-0.34072584,0.54258025,-0.29246864,0.31072527,-0.55620867,0.6122355,0.36298248,-0.5661988,0.037113562","0.30867028,0.99372244,-0.9716998","-0.3112501,0.67921203,-0.39685902,0.38187435,-0.5563281,0.45143554,0.36298248,-0.5661988,0.037113562",0.0
"-0.3112501,0.67921203,-0.39685902,0.38187435,-0.5563281,0.45143554,0.36298248,-0.5661988,0.037113562","-0.2021451,0.9876144,-0.9568444","-0.33055347,0.81500393,-0.49965346,0.34524283,-0.5746936,0.28673393,0.36298248,-0.5661988,0.037113562",0.0
"-0.33055347,0.81500393,-0.49965346,0.34524283,-0.5746936,0.28673393,0.36298248,-0.5661988,0.037113562","0.14716041,0.98480475,-0.72637534","-0.31650072,0.95040953,-0.5776884,0.36196983,-0.54613036,0.11652696,0.36298248,-0.5661988,0.037113562",0.0
"-0.31650072,0.95040953,-0.5776884,0.36196983,-0.54613036,0.11652696,0.36298248,-0.5661988,0.037113562","-0.15494865,0.92178166,-0.18078512","-0.331296,0.9999812,-0.5970973,0.33397654,-0.55855834,0.051703326,0.36298248,-0.5661988,0.037113562",0.0
"-0.331296,0.9999812,-0.5970973,0.33397654,-0.55855834,0.051703326,0.36298248,-0.5661988,0.037113562","0.14831948,0.89410114,0.09204662","-0.31713134,0.99998134,-0.5871952,0.36498222,-0.55317223,0.043912355,0.36298248,-0.5661988,0.037113562",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.038362574,-0.39315787,0.3476588","0.9470217,-0.89283013,-0.9872525","0.090433694,-0.12275955,-0.10606115,-0.38374168,-0.106023684,0.88718307,-0.038362574,-0.39315787,0.3476588",0.0
"0.090433694,-0.12275955,-0.10606115,-0.38374168,-0.106023684,0.88718307,-0.038362574,-0.39315787,0.3476588","0.9708071,0.7009324,-0.98868066","0.18313873,-0.026384952,-0.21227577,-0.2809979,-0.17533831,0.8784433,-0.038362574,-0.39315787,0.3476588",0.0
"0.18313873,-0.026384952,-0.21227577,-0.2809979,-0.17533831,0.8784433,-0.038362574,-0.39315787,0.3476588","0.8962686,0.33859873,-0.9865007","0.26872587,0.020170644,-0.3182562,-0.2382642,-0.25937334,0.80507624,-0.038362574,-0.39315787,0.3476588",0.0
"0.26872587,0.020170644,-0.3182562,-0.2382642,-0.25937334,0.80507624,-0.038362574,-0.39315787,0.3476588","0.7287712,0.2749083,-0.9783915","0.33831826,0.05796913,-0.42336544,-0.18638062,-0.3229215,0.70540047,-0.038362574,-0.39315787,0.3476588",0.0
"0.33831826,0.05796913,-0.42336544,-0.18638062,-0.3229215,0.70540047,-0.038362574,-0.39315787,0.3476588","0.4743626,0.13536882,-0.9610435","0.38361645,0.07658166,-0.526611,-0.14843976,-0.3715403,0.5744447,-0.038362574,-0.39315787,0.3476588",0.0
"0.38361645,0.07658166,-0.526611,-0.14843976,-0.3715403,0.5744447,-0.038362574,-0.39315787,0.3476588","0.31895018,-0.034205258,-0.9195151","0.41407385,0.07187861,-0.62539506,-0.11831135,-0.40587753,0.41719955,-0.038362574,-0.39315787,0.3476588",0.0
"0.41407385,0.07187861,-0.62539506,-0.11831135,-0.40587753,0.41719955,-0.038362574,-0.39315787,0.3476588","0.20019925,0.17544317,-0.5519424","0.43319145,0.096001156,-0.68469065,-0.08752412,-0.38308668,0.34897956,-0.038362574,-0.39315787,0.3476588",0.0
"0.43319145,0.096001156,-0.68469065,-0.08752412,-0.38308668,0.34897956,-0.038362574,-0.39315787,0.3476588","0.18306673,0.079465866,0.005796194","0.45067295,0.106927305,-0.68406796,-0.06482411,-0.37745816,0.36028403,-0.038362574,-0.39315787,0.3476588",0.0
"0.45067295,0.106927305,-0.68406796,-0.06482411,-0.37745816,0.36028403,-0.038362574,-0.39315787,0.3476588","0.15060866,-0.026436985,-0.01999873","0.465055,0.10329237,-0.6862165,-0.048041057,-0.3830129,0.35354298,-0.038362574,-0.39315787,0.3476588",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.53549707,-0.42415205,0.31340078","0.9729557,-0.9827423,-0.9938493","0.0929102,-0.13512202,-0.106769845,-0.40677565,-0.11617851,0.8741975,-0.53549707,-0.42415205,0.31340078",0.0
"0.0929102,-0.13512202,-0.106769845,-0.40677565,-0.11617851,0.8741975,-0.53549707,-0.42415205,0.31340078","0.9476268,-0.7973701,-0.9815893","0.18340169,-0.24475633,-0.2122226,-0.5926735,-0.37816468,0.5977388,-0.53549707,-0.42415205,0.31340078",0.0
"0.18340169,-0.24475633,-0.2122226,-0.5926735,-0.37816468,0.5977388,-0.53549707,-0.42415205,0.31340078","0.11557162,0.15062904,-0.9620186","0.19443794,-0.22404562,-0.3155729,-0.59477174,-0.40937942,0.48122004,-0.53549707,-0.42415205,0.31340078",0.0
"0.19443794,-0.22404562,-0.3155729,-0.59477174,-0.40937942,0.48122004,-0.53549707,-0.42415205,0.31340078","0.040130377,0.13877368,-0.8632649","0.1982701,-0.20496497,-0.408314,-0.58298594,-0.41161516,0.37085396,-0.53549707,-0.42415205,0.31340078",0.0
"0.1982701,-0.20496497,-0.408314,-0.58298594,-0.41161516,0.37085396,-0.53549707,-0.42415205,0.31340078","0.08353102,0.26389945,-0.45993423","0.2062467,-0.16868016,-0.45772505,-0.5427804,-0.40360552,0.35535392,-0.53549707,-0.42415205,0.31340078",0.0
"0.2062467,-0.16868016,-0.45772505,-0.5427804,-0.40360552,0.35535392,-0.53549707,-0.42415205,0.31340078","0.097730756,-0.019725144,-0.16216838","0.21557927,-0.17139228,-0.47514692,-0.5306591,-0.4192982,0.32383052,-0.53549707,-0.42415205,0.31340078",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.038070176,-0.032807015,0.066925906","-0.9701489,0.9527645,-0.99572396","-0.09264217,0.13100024,-0.1069713,0.12895678,-0.032585688,0.9710021,0.038070176,-0.032807015,0.066925906",0.0
"-0.09264217,0.13100024,-0.1069713,0.12895678,-0.032585688,0.9710021,0.038070176,-0.032807015,0.066925906","-0.8946811,0.6975944,-0.9936559","-0.1780777,0.22691591,-0.21372044,0.15903762,-0.092755996,0.9242345,0.038070176,-0.032807015,0.066925906",0.0
"-0.1780777,0.22691591,-0.21372044,0.15903762,-0.092755996,0.9242345,0.038070176,-0.032807015,0.066925906","-0.56825066,0.4596913,-0.9886932","-0.23234151,0.29012114,-0.31993645,0.12577353,-0.10477137,0.86757874,0.038070176,-0.032807015,0.066925906",0.0
"-0.23234151,0.29012114,-0.31993645,0.12577353,-0.10477137,0.86757874,0.038070176,-0.032807015,0.066925906","-0.23872721,0.58981156,-0.98695266","-0.25513822,0.37121725,-0.42596546,0.124249466,-0.120004795,0.78216195,0.038070176,-0.032807015,0.066925906",0.0
"-0.25513822,0.37121725,-0.42596546,0.124249466,-0.120004795,0.78216195,0.038070176,-0.032807015,0.066925906","-0.083229125,0.5345851,-0.9864435","-0.263086,0.44472,-0.53193974,0.11359695,-0.114797965,0.6806285,0.038070176,-0.032807015,0.066925906",0.0
