state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.43520468,0.07847953,0.46932715","0.48900938,0.758752,0.9008858","0.04669685,0.10432449,0.09678274,0.34569058,0.05693267,0.91134673,0.43520468,0.07847953,0.46932715",0.0
"0.04669685,0.10432449,0.09678274,0.34569058,0.05693267,0.91134673,0.43520468,0.07847953,0.46932715","0.38072252,0.39742696,0.89580774","0.08305308,0.15896867,0.19301994,0.53492683,0.14882082,0.7552052,0.43520468,0.07847953,0.46932715",0.0
"0.08305308,0.15896867,0.19301994,0.53492683,0.14882082,0.7552052,0.43520468,0.07847953,0.46932715","-0.31259608,-0.76991457,0.6681248","0.053202428,0.053109378,0.26479703,0.42750758,0.07799783,0.7974527,0.43520468,0.07847953,0.46932715",0.0
"0.053202428,0.053109378,0.26479703,0.42750758,0.07799783,0.7974527,0.43520468,0.07847953,0.46932715","0.20800006,0.018348932,0.89802885","0.07306492,0.05563226,0.36127287,0.4973429,0.122153565,0.66879064,0.43520468,0.07847953,0.46932715",0.0
"0.07306492,0.05563226,0.36127287,0.4973429,0.122153565,0.66879064,0.43520468,0.07847953,0.46932715","-0.17539072,-0.14066994,0.962358","0.05631638,0.036290865,0.46465963,0.52041537,0.09892764,0.5405416,0.43520468,0.07847953,0.46932715",0.0
"0.05631638,0.036290865,0.46465963,0.52041537,0.09892764,0.5405416,0.43520468,0.07847953,0.46932715","-0.0682224,-0.73091245,0.8490474","0.049801633,-0.06420583,0.5558734,0.4186345,0.071898796,0.51735765,0.43520468,0.07847953,0.46932715",0.0
"0.049801633,-0.06420583,0.5558734,0.4186345,0.071898796,0.51735765,0.43520468,0.07847953,0.46932715","0.05412805,0.06724286,0.22961771","0.054970473,-0.05496029,0.5805414,0.43214095,0.08125605,0.46936035,0.43520468,0.07847953,0.46932715",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.12847954,0.3073684,0.404603","-0.2402541,0.10294044,0.64664435","-0.022942523,0.014153775,0.069469415,0.12683804,-0.0033537224,0.97912484,0.12847954,0.3073684,0.404603",0.0
"-0.022942523,0.014153775,0.069469415,0.12683804,-0.0033537224,0.97912484,0.12847954,0.3073684,0.404603","0.1788671,-0.15263838,0.46759605","-0.0058620167,-0.006833226,0.119703576,0.14969504,0.003032915,0.9651362,0.12847954,0.3073684,0.404603",0.0
"-0.0058620167,-0.006833226,0.119703576,0.14969504,0.003032915,0.9651362,0.12847954,0.3073684,0.404603","0.44211352,0.03347504,0.9432404","0.036356613,-0.0022305942,0.22103652,0.28248563,0.038233068,0.8918795,0.12847954,0.3073684,0.404603",0.0
"0.036356613,-0.0022305942,0.22103652,0.28248563,0.038233068,0.8918795,0.12847954,0.3073684,0.404603","0.9602345,-0.3570453,0.69716763","0.12805203,-0.0513225,0.29593375,0.24835765,0.1119657,0.8533182,0.12847954,0.3073684,0.404603",0.0
"0.12805203,-0.0513225,0.29593375,0.24835765,0.1119657,0.8533182,0.12847954,0.3073684,0.404603","0.7042506,0.6220195,0.75407434","0.19530284,0.034201972,0.37694448,0.39603087,0.28597978,0.67283124,0.12847954,0.3073684,0.404603",0.0
