state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.00023391814,0.06701754,0.37832105","-0.29189026,-0.07304454,0.9960208","-0.027873406,-0.010043258,0.10700317,0.12588085,-0.0052398895,0.97203743,-0.00023391814,0.06701754,0.37832105",0.0
"-0.027873406,-0.010043258,0.10700317,0.12588085,-0.0052398895,0.97203743,-0.00023391814,0.06701754,0.37832105","0.9352126,-0.16086698,0.7900989","0.061432607,-0.032161657,0.19188401,0.18522437,0.042096887,0.9325845,-0.00023391814,0.06701754,0.37832105",0.0
"0.061432607,-0.032161657,0.19188401,0.18522437,0.042096887,0.9325845,-0.00023391814,0.06701754,0.37832105","0.91687465,-0.70557666,0.59760404","0.14898746,-0.12917484,0.25608507,0.062075105,0.03786735,0.92001337,-0.00023391814,0.06701754,0.37832105",0.0
"0.14898746,-0.12917484,0.25608507,0.062075105,0.03786735,0.92001337,-0.00023391814,0.06701754,0.37832105","0.93596613,-0.79084885,0.9177295","0.23836541,-0.23791252,0.35467738,-0.017206628,-0.008089043,0.85973644,-0.00023391814,0.06701754,0.37832105",0.0
"0.23836541,-0.23791252,0.35467738,-0.017206628,-0.008089043,0.85973644,-0.00023391814,0.06701754,0.37832105","0.6105486,0.16808021,0.9357681","0.29666835,-0.2148024,0.45520762,0.076636456,0.112902574,0.7633554,-0.00023391814,0.06701754,0.37832105",0.0
"0.29666835,-0.2148024,0.45520762,0.076636456,0.112902574,0.7633554,-0.00023391814,0.06701754,0.37832105","0.7318038,-0.17366844,0.96973515","0.36655033,-0.23868094,0.5593869,0.07029075,0.17194307,0.64358073,-0.00023391814,0.06701754,0.37832105",0.0
"0.36655033,-0.23868094,0.5593869,0.07029075,0.17194307,0.64358073,-0.00023391814,0.06701754,0.37832105","0.70847344,-0.8238882,0.96687555","0.4342044,-0.35196134,0.663259,0.014590224,0.09778694,0.54081976,-0.00023391814,0.06701754,0.37832105",0.0
"0.4342044,-0.35196134,0.663259,0.014590224,0.09778694,0.54081976,-0.00023391814,0.06701754,0.37832105","0.35528457,-0.56667405,0.9411354","0.46813148,-0.42987615,0.76436585,0.00092954165,0.067177095,0.4131273,-0.00023391814,0.06701754,0.37832105",0.0
"0.46813148,-0.42987615,0.76436585,0.00092954165,0.067177095,0.4131273,-0.00023391814,0.06701754,0.37832105","0.1565032,-0.11553228,0.26395","0.4830764,-0.44576132,0.7927223,-0.002341923,0.06493628,0.3741336,-0.00023391814,0.06701754,0.37832105",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.032222223,-0.017192982,0.3823091","0.868479,-0.97820586,0.82236946","0.08293343,-0.1344983,0.0883477,-0.1621873,-0.037248436,0.9692336,-0.032222223,-0.017192982,0.3823091",0.0
