uoc,state,action,next_state,reward
7,"0.17997158,0.2421391,0.18297042,0.5711679,0.36925972,0.6424775,0.26000002,0.60713446,-0.32808766","0.8855847,0.85763454,0.9174919","0.2645385,0.36005944,0.28153715,0.5683528,0.6313854,0.27202517,0.26000002,0.60713446,-0.32808766",0.0
7,"0.2645385,0.36005944,0.28153715,0.5683528,0.6313854,0.27202517,0.26000002,0.60713446,-0.32808766","0.6495236,0.5500395,0.93067765","0.3265633,0.43568712,0.38152045,0.43736225,0.73281527,-0.037628446,0.26000002,0.60713446,-0.32808766",0.0
7,"0.3265633,0.43568712,0.38152045,0.43736225,0.73281527,-0.037628446,0.26000002,0.60713446,-0.32808766","0.2706877,0.6429601,0.8906499","0.35241202,0.5240908,0.47720352,0.33401734,0.6809609,-0.32873434,0.26000002,0.60713446,-0.32808766",0.0
7,"0.35241202,0.5240908,0.47720352,0.33401734,0.6809609,-0.32873434,0.26000002,0.60713446,-0.32808766","0.195382,-0.10829884,0.6585593","0.37106958,0.50920033,0.54795295,0.26371473,0.62976706,-0.363262,0.26000002,0.60713446,-0.32808766",0.0
7,"0.37106958,0.50920033,0.54795295,0.26371473,0.62976706,-0.363262,0.26000002,0.60713446,-0.32808766","-0.083060205,-0.22308421,0.23599494","0.36313793,0.4785275,0.573306,0.2720889,0.6072242,-0.33173788,0.26000002,0.60713446,-0.32808766",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.4320468,0.14222223,-0.5093807","-0.21048522,-0.9295443,-0.97917205","-0.020099815,-0.12780757,-0.10519307,-0.40576077,0.031456713,0.882956,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.020099815,-0.12780757,-0.10519307,-0.40576077,0.031456713,0.882956,-0.4320468,0.14222223,-0.5093807","-0.4206758,-0.8038155,-0.92082465","-0.060271308,-0.23832807,-0.20411785,-0.67545104,0.13534062,0.61997366,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.060271308,-0.23832807,-0.20411785,-0.67545104,0.13534062,0.61997366,-0.4320468,0.14222223,-0.5093807","0.15954363,-0.8040657,-0.96806663","-0.045036048,-0.34888297,-0.30811784,-0.8310128,0.12421439,0.2535887,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.045036048,-0.34888297,-0.30811784,-0.8310128,0.12421439,0.2535887,-0.4320468,0.14222223,-0.5093807","0.6112673,-0.83560884,-0.9671543","0.013335545,-0.46377495,-0.41201982,-0.8334781,-0.029144095,-0.13680902,-0.4320468,0.14222223,-0.5093807",0.0
7,"0.013335545,-0.46377495,-0.41201982,-0.8334781,-0.029144095,-0.13680902,-0.4320468,0.14222223,-0.5093807","-0.6113055,-0.8406726,-0.85220003","-0.045039695,-0.57936317,-0.50357217,-0.69030434,0.104180776,-0.44923228,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.045039695,-0.57936317,-0.50357217,-0.69030434,0.104180776,-0.44923228,-0.4320468,0.14222223,-0.5093807","-0.19230485,-0.42129278,-0.9351355","-0.06340341,-0.6372888,-0.6040343,-0.5068899,0.10822945,-0.5767233,-0.4320468,0.14222223,-0.5093807",0.0
7,"-0.06340341,-0.6372888,-0.6040343,-0.5068899,0.10822945,-0.5767233,-0.4320468,0.14222223,-0.5093807","-0.3489492,0.36499906,-0.7070235","-0.09672552,-0.58710337,-0.67999023,-0.4318601,0.14149222,-0.5186703,-0.4320468,0.14222223,-0.5093807",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.03011696,-0.016491227,-0.6184311","0.19658124,-0.9817947,-0.9767986","0.018772077,-0.13499172,-0.10493809,-0.42023405,-0.019012544,0.8759229,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.018772077,-0.13499172,-0.10493809,-0.42023405,-0.019012544,0.8759229,-0.03011696,-0.016491227,-0.6184311","0.41364086,-0.7659443,-0.7885033","0.058271773,-0.24030514,-0.18964751,-0.6717231,-0.118474826,0.6365017,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.058271773,-0.24030514,-0.18964751,-0.6717231,-0.118474826,0.6365017,-0.03011696,-0.016491227,-0.6184311","0.32549667,-0.67954177,-0.80205363","0.08935434,-0.33373865,-0.27581263,-0.79676676,-0.2237059,0.33481038,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.08935434,-0.33373865,-0.27581263,-0.79676676,-0.2237059,0.33481038,-0.03011696,-0.016491227,-0.6184311","0.3528056,-0.9658691,-0.96819437","0.12304473,-0.46654075,-0.37982634,-0.79635733,-0.31789544,-0.09968046,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.12304473,-0.46654075,-0.37982634,-0.79635733,-0.31789544,-0.09968046,-0.03011696,-0.016491227,-0.6184311","0.8414825,-0.9444747,-0.4339949","0.20340021,-0.5964012,-0.42645064,-0.6284966,-0.4597563,-0.41605514,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.20340021,-0.5964012,-0.42645064,-0.6284966,-0.4597563,-0.41605514,-0.03011696,-0.016491227,-0.6184311","0.27108788,-0.9798432,-0.9482663","0.22928713,-0.73112464,-0.5283234,-0.4017698,-0.34490952,-0.6890383,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.22928713,-0.73112464,-0.5283234,-0.4017698,-0.34490952,-0.6890383,-0.03011696,-0.016491227,-0.6184311","0.42140293,-0.98123103,-0.9659599","0.26952803,-0.8660389,-0.63209707,-0.15257993,-0.16381231,-0.7781073,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.26952803,-0.8660389,-0.63209707,-0.15257993,-0.16381231,-0.7781073,-0.03011696,-0.016491227,-0.6184311","-0.54036725,-0.4444679,-0.83741754","0.2179269,-0.92715096,-0.7220612,-0.04513735,-0.029374627,-0.7077963,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.2179269,-0.92715096,-0.7220612,-0.04513735,-0.029374627,-0.7077963,-0.03011696,-0.016491227,-0.6184311","0.09161639,0.46778202,-0.48932838","0.2266756,-0.8628334,-0.77463,-0.06234579,-0.0461704,-0.6330837,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.2266756,-0.8628334,-0.77463,-0.06234579,-0.0461704,-0.6330837,-0.03011696,-0.016491227,-0.6184311","-0.08657849,-0.04814613,-0.12285066","0.21840797,-0.8694533,-0.78782785,-0.04992651,-0.03340106,-0.6176794,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.21840797,-0.8694533,-0.78782785,-0.04992651,-0.03340106,-0.6176794,-0.03011696,-0.016491227,-0.6184311","-0.0999313,-0.09406638,-0.0117768645","0.20886526,-0.882387,-0.789093,-0.040119674,-0.023584716,-0.6177203,-0.03011696,-0.016491227,-0.6184311",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.007777778,-0.023801168,-0.46819258","0.45105457,0.8818283,0.8275845","0.043072443,0.12124685,0.08890792,0.37032318,0.056261268,0.9023369,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.043072443,0.12124685,0.08890792,0.37032318,0.056261268,0.9023369,0.007777778,-0.023801168,-0.46819258","0.8507099,0.9899769,0.97758317","0.12430907,0.2573636,0.1939303,0.65381587,0.2754195,0.6016551,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.12430907,0.2573636,0.1939303,0.65381587,0.2754195,0.6016551,0.007777778,-0.023801168,-0.46819258","0.89310014,0.94182324,0.9625735","0.20959365,0.38685948,0.29734015,0.68190694,0.53486955,0.19127263,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.20959365,0.38685948,0.29734015,0.68190694,0.53486955,0.19127263,0.007777778,-0.023801168,-0.46819258","0.9039962,0.64152014,0.9442365","0.29591873,0.47506523,0.39878008,0.49998623,0.6796197,-0.14268759,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.29591873,0.47506523,0.39878008,0.49998623,0.6796197,-0.14268759,0.007777778,-0.023801168,-0.46819258","0.47042644,0.74910164,0.95943856","0.34084105,0.5780629,0.5018531,0.3310356,0.6180173,-0.4457864,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.34084105,0.5780629,0.5018531,0.3310356,0.6180173,-0.4457864,0.007777778,-0.023801168,-0.46819258","-0.027122498,0.92084026,0.98882544","0.33825105,0.7046737,0.6080832,0.21240687,0.39328852,-0.65610063,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.33825105,0.7046737,0.6080832,0.21240687,0.39328852,-0.65610063,0.007777778,-0.023801168,-0.46819258","0.8145597,0.6543474,0.9516444","0.4160356,0.79464316,0.7103189,0.05055753,0.2094051,-0.6764807,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.4160356,0.79464316,0.7103189,0.05055753,0.2094051,-0.6764807,0.007777778,-0.023801168,-0.46819258","0.9965414,0.61897147,0.95423126","0.5111981,0.8797486,0.8128325,-0.0068853716,0.03103054,-0.5859498,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.5111981,0.8797486,0.8128325,-0.0068853716,0.03103054,-0.5859498,0.007777778,-0.023801168,-0.46819258","0.9740175,-0.090601444,0.6875185","0.60420966,0.86729145,0.8866929,-0.004874791,-0.0036499305,-0.48105064,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.60420966,0.86729145,0.8866929,-0.004874791,-0.0036499305,-0.48105064,0.007777778,-0.023801168,-0.46819258","0.75746155,0.25719333,0.08361828","0.6765418,0.90265423,0.89567596,0.010914884,-0.028612914,-0.4662367,0.007777778,-0.023801168,-0.46819258",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.023040937,0.009707602,-0.46819258","-0.0129829645,0.9777273,0.94783175","-0.0012397737,0.13443248,0.10182616,0.41592938,0.0041693076,0.8791661,0.023040937,0.009707602,-0.46819258",0.0
7,"-0.0012397737,0.13443248,0.10182616,0.41592938,0.0041693076,0.8791661,0.023040937,0.009707602,-0.46819258","0.9431759,0.94749427,0.97790575","0.08882668,0.26470807,0.20688319,0.6975278,0.20588763,0.5705072,0.023040937,0.009707602,-0.46819258",0.0
7,"0.08882668,0.26470807,0.20688319,0.6975278,0.20588763,0.5705072,0.023040937,0.009707602,-0.46819258","0.7757932,0.92237806,0.8610141","0.16290931,0.39153033,0.29938248,0.7548803,0.43067062,0.17821638,0.023040937,0.009707602,-0.46819258",0.0
7,"0.16290931,0.39153033,0.29938248,0.7548803,0.43067062,0.17821638,0.023040937,0.009707602,-0.46819258","0.2738136,0.8491523,0.9928615","0.18905652,0.50828445,0.40604618,0.68764174,0.47133413,-0.2198757,0.023040937,0.009707602,-0.46819258",0.0
7,"0.18905652,0.50828445,0.40604618,0.68764174,0.47133413,-0.2198757,0.023040937,0.009707602,-0.46819258","-0.7407203,0.8769994,0.98597145","0.11832311,0.6288674,0.5119696,0.60450774,0.24187963,-0.5359504,0.023040937,0.009707602,-0.46819258",0.0
7,"0.11832311,0.6288674,0.5119696,0.60450774,0.24187963,-0.5359504,0.023040937,0.009707602,-0.46819258","0.7575543,0.80367804,0.73428607","0.19066405,0.73936903,0.5908544,0.3544009,0.24894357,-0.6962518,0.023040937,0.009707602,-0.46819258",0.0
7,"0.19066405,0.73936903,0.5908544,0.3544009,0.24894357,-0.6962518,0.023040937,0.009707602,-0.46819258","-0.34266984,0.62588465,0.93077326","0.15794156,0.82542497,0.69084793,0.17622024,0.10198285,-0.70893145,0.023040937,0.009707602,-0.46819258",0.0
7,"0.15794156,0.82542497,0.69084793,0.17622024,0.10198285,-0.70893145,0.023040937,0.009707602,-0.46819258","0.46896315,0.22899699,0.8651266","0.20272414,0.85691094,0.7837889,0.057177715,0.049495798,-0.6206889,0.023040937,0.009707602,-0.46819258",0.0
7,"0.20272414,0.85691094,0.7837889,0.057177715,0.049495798,-0.6206889,0.023040937,0.009707602,-0.46819258","-0.44803488,-0.5539289,0.9417757","0.15994008,0.7807486,0.88496435,0.05009276,0.03413253,-0.47731382,0.023040937,0.009707602,-0.46819258",0.0
