state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.20216376,-0.8219883,-0.31978464","-0.9104544,0.9714427,0.9570782","-0.08694178,0.13356838,0.10281952,0.40155298,-0.10647805,0.87919486,0.20216376,-0.8219883,-0.31978464",0.0
"-0.08694178,0.13356838,0.10281952,0.40155298,-0.10647805,0.87919486,0.20216376,-0.8219883,-0.31978464","-0.95266646,0.95767975,0.9527776","-0.17791452,0.26524442,0.20517701,0.61944497,-0.38061497,0.5719906,0.20216376,-0.8219883,-0.31978464",0.0
"-0.17791452,0.26524442,0.20517701,0.61944497,-0.38061497,0.5719906,0.20216376,-0.8219883,-0.31978464","-0.9167843,0.92126465,0.8740907","-0.26546076,0.39191362,0.29908112,0.58843476,-0.6399516,0.17787081,0.20216376,-0.8219883,-0.31978464",0.0
"-0.26546076,0.39191362,0.29908112,0.58843476,-0.6399516,0.17787081,0.20216376,-0.8219883,-0.31978464","-0.92818445,0.8072219,0.69160914","-0.35409564,0.5029025,0.37338108,0.3861553,-0.76952577,-0.16728589,0.20216376,-0.8219883,-0.31978464",0.0
"-0.35409564,0.5029025,0.37338108,0.3861553,-0.76952577,-0.16728589,0.20216376,-0.8219883,-0.31978464","-0.6945839,0.44392538,0.21880686","-0.4204234,0.56394005,0.39688763,0.20982939,-0.7983759,-0.32186782,0.20216376,-0.8219883,-0.31978464",0.0
"-0.4204234,0.56394005,0.39688763,0.20982939,-0.7983759,-0.32186782,0.20216376,-0.8219883,-0.31978464","-0.074959636,0.17829669,-0.33676088","-0.4275815,0.58845496,0.36070913,0.19729409,-0.8265197,-0.33042684,0.20216376,-0.8219883,-0.31978464",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.63859653,-0.33900583,0.53209","-0.86046445,0.93809795,0.9419949","-0.0821681,0.12898365,0.101199105,0.39261156,-0.097673796,0.8851475,0.63859653,-0.33900583,0.53209",0.0
"-0.0821681,0.12898365,0.101199105,0.39261156,-0.097673796,0.8851475,0.63859653,-0.33900583,0.53209","-0.6607671,0.81459475,0.8521428","-0.14526656,0.24098626,0.19274534,0.617613,-0.29675877,0.6311498,0.63859653,-0.33900583,0.53209",0.0
"-0.14526656,0.24098626,0.19274534,0.617613,-0.29675877,0.6311498,0.63859653,-0.33900583,0.53209","-0.11306387,0.14014363,0.46430588","-0.15606333,0.2602553,0.24262604,0.65513295,-0.3431206,0.5264857,0.63859653,-0.33900583,0.53209",0.0
"-0.15606333,0.2602553,0.24262604,0.65513295,-0.3431206,0.5264857,0.63859653,-0.33900583,0.53209","0.03735602,-0.12862277,0.2149117","-0.15249611,0.24257036,0.26571417,0.64803046,-0.33009186,0.5238316,0.63859653,-0.33900583,0.53209",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.39058483,-0.608421,0.53209","-0.9001752,0.9158186,0.9247588","-0.08596019,0.12592036,0.09934742,0.38351384,-0.10015535,0.8896703,0.39058483,-0.608421,0.53209",0.0
"-0.08596019,0.12592036,0.09934742,0.38351384,-0.10015535,0.8896703,0.39058483,-0.608421,0.53209","-0.88305473,0.85074043,0.791358","-0.17028551,0.24289279,0.1843635,0.58984554,-0.34281933,0.6393479,0.39058483,-0.608421,0.53209",0.0
"-0.17028551,0.24289279,0.1843635,0.58984554,-0.34281933,0.6393479,0.39058483,-0.608421,0.53209","-0.88472325,0.30621898,0.42074","-0.25477016,0.28499636,0.22956386,0.53646505,-0.5444787,0.50047684,0.39058483,-0.608421,0.53209",0.0
"-0.25477016,0.28499636,0.22956386,0.53646505,-0.5444787,0.50047684,0.39058483,-0.608421,0.53209","-0.6275432,-0.42435068,0.40888274","-0.31469598,0.22665034,0.2734904,0.3953775,-0.5901272,0.5401707,0.39058483,-0.608421,0.53209",0.0
"-0.31469598,0.22665034,0.2734904,0.3953775,-0.5901272,0.5401707,0.39058483,-0.608421,0.53209","-0.052659452,0.14421248,-0.19196975","-0.3197246,0.24647886,0.252867,0.39477363,-0.6100887,0.5359784,0.39058483,-0.608421,0.53209",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.08766082,-0.9876023,-0.113517225","-0.9314334,0.94219625,0.89196825","-0.08894511,0.12954713,0.0958247,0.38538373,-0.104558125,0.8890309,0.08766082,-0.9876023,-0.113517225",0.0
"-0.08894511,0.12954713,0.0958247,0.38538373,-0.104558125,0.8890309,0.08766082,-0.9876023,-0.113517225","-0.9744678,0.94645405,0.8257444","-0.18199971,0.25967973,0.18453494,0.5974031,-0.37752596,0.61067456,0.08766082,-0.9876023,-0.113517225",0.0
"-0.18199971,0.25967973,0.18453494,0.5974031,-0.37752596,0.61067456,0.08766082,-0.9876023,-0.113517225","-0.9607093,0.91671216,0.64789104","-0.27374047,0.38572294,0.25413826,0.57097673,-0.65432507,0.26101333,0.08766082,-0.9876023,-0.113517225",0.0
"-0.27374047,0.38572294,0.25413826,0.57097673,-0.65432507,0.26101333,0.08766082,-0.9876023,-0.113517225","-0.9452428,0.9052677,-0.62278026","-0.36400428,0.51019263,0.18723257,0.39569896,-0.8551513,0.089666195,0.08766082,-0.9876023,-0.113517225",0.0
"-0.36400428,0.51019263,0.18723257,0.39569896,-0.8551513,0.089666195,0.08766082,-0.9876023,-0.113517225","-0.8842883,0.7302314,-0.31201518","-0.4484474,0.6105957,0.15371254,0.16230011,-0.95745414,-0.09338613,0.08766082,-0.9876023,-0.113517225",0.0
"-0.4484474,0.6105957,0.15371254,0.16230011,-0.95745414,-0.09338613,0.08766082,-0.9876023,-0.113517225","-0.26139593,0.39967752,-0.6454444","-0.4734088,0.66554934,0.08437199,0.08814476,-0.9833362,-0.11781535,0.08766082,-0.9876023,-0.113517225",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.7772515,0.42725146,0.37747115","-0.682894,-0.97767746,-0.87848914","-0.06521142,-0.13442563,-0.09437664,-0.3974325,0.08849256,0.88542104,-0.7772515,0.42725146,0.37747115",0.0
