state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.059707604,-0.1019883,0.023057302","-0.96303385,0.8801681,-0.9880626","-0.09196273,0.1210186,-0.10614823,0.10976399,-0.026585273,0.97402203,-0.059707604,-0.1019883,0.023057302",0.0
"-0.09196273,0.1210186,-0.10614823,0.10976399,-0.026585273,0.97402203,-0.059707604,-0.1019883,0.023057302","-0.9532384,0.7246362,-0.98553586","-0.18299007,0.22065239,-0.21202502,0.14885475,-0.0895416,0.9272472,-0.059707604,-0.1019883,0.023057302",0.0
"-0.18299007,0.22065239,-0.21202502,0.14885475,-0.0895416,0.9272472,-0.059707604,-0.1019883,0.023057302","-0.94300646,0.66359997,-0.98442554","-0.27304035,0.311894,-0.31778255,0.1405741,-0.15370436,0.8584821,-0.059707604,-0.1019883,0.023057302",0.0
"-0.27304035,0.311894,-0.31778255,0.1405741,-0.15370436,0.8584821,-0.059707604,-0.1019883,0.023057302","-0.9497628,0.6591903,-0.9795123","-0.3637358,0.40252933,-0.42301223,0.1012178,-0.20787525,0.76827973,-0.059707604,-0.1019883,0.023057302",0.0
"-0.3637358,0.40252933,-0.42301223,0.1012178,-0.20787525,0.76827973,-0.059707604,-0.1019883,0.023057302","-0.94841784,0.74453056,-0.981086","-0.45430282,0.5048985,-0.52841103,0.04265655,-0.25462773,0.6521677,-0.059707604,-0.1019883,0.023057302",0.0
"-0.45430282,0.5048985,-0.52841103,0.04265655,-0.25462773,0.6521677,-0.059707604,-0.1019883,0.023057302","-0.87133527,0.834414,-0.9836068","-0.537509,0.61962616,-0.6340805,-0.027061721,-0.27782235,0.5126617,-0.059707604,-0.1019883,0.023057302",0.0
"-0.537509,0.61962616,-0.6340805,-0.027061721,-0.27782235,0.5126617,-0.059707604,-0.1019883,0.023057302","-0.81534827,0.86905646,-0.9837206","-0.61536884,0.73911697,-0.73976225,-0.09203412,-0.25903523,0.36148107,-0.059707604,-0.1019883,0.023057302",0.0
"-0.61536884,0.73911697,-0.73976225,-0.09203412,-0.25903523,0.36148107,-0.059707604,-0.1019883,0.023057302","-0.6625643,0.85759354,-0.9793492","-0.67863894,0.85703176,-0.84497434,-0.12126189,-0.20377195,0.21252543,-0.059707604,-0.1019883,0.023057302",0.0
"-0.67863894,0.85703176,-0.84497434,-0.12126189,-0.20377195,0.21252543,-0.059707604,-0.1019883,0.023057302","-0.23521113,0.8730185,-0.9623021","-0.7010999,0.9770674,-0.948355,-0.09661758,-0.1418225,0.074173726,-0.059707604,-0.1019883,0.023057302",0.0
"-0.7010999,0.9770674,-0.948355,-0.09661758,-0.1418225,0.074173726,-0.059707604,-0.1019883,0.023057302","0.07403731,0.740607,-0.8694192","-0.69402826,0.99998003,-1.0000021,-0.06282853,-0.10008998,0.02304238,-0.059707604,-0.1019883,0.023057302",0.0
