state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.30771932,-0.045497075,0.5664788","0.61806095,0.8180393,0.8842796","0.059020337,0.11247619,0.09499872,0.35713518,0.07287881,0.9055859,0.30771932,-0.045497075,0.5664788",0.0
"0.059020337,0.11247619,0.09499872,0.35713518,0.07287881,0.9055859,0.30771932,-0.045497075,0.5664788","-0.8181347,0.058801293,0.9813868","-0.019105587,0.12056107,0.20042972,0.49446008,-0.023914663,0.79569983,0.30771932,-0.045497075,0.5664788",0.0
"-0.019105587,0.12056107,0.20042972,0.49446008,-0.023914663,0.79569983,0.30771932,-0.045497075,0.5664788","0.21251464,-0.896734,0.9794328","0.0011880168,-0.0027352455,0.30565086,0.37186155,0.0071770726,0.8044118,0.30771932,-0.045497075,0.5664788",0.0
"0.0011880168,-0.0027352455,0.30565086,0.37186155,0.0071770726,0.8044118,0.30771932,-0.045497075,0.5664788","0.00911963,-0.46724898,0.98852277","0.0020588704,-0.06697959,0.41184852,0.3497932,0.008051945,0.72875315,0.30771932,-0.045497075,0.5664788",0.0
"0.0020588704,-0.06697959,0.41184852,0.3497932,0.008051945,0.72875315,0.30771932,-0.045497075,0.5664788","-0.4672619,-0.3020258,0.9846287","-0.042561255,-0.1085066,0.51762784,0.3493148,-0.041145887,0.61706823,0.30771932,-0.045497075,0.5664788",0.0
"-0.042561255,-0.1085066,0.51762784,0.3493148,-0.041145887,0.61706823,0.30771932,-0.045497075,0.5664788","0.065743804,-0.400936,0.61204636","-0.03628321,-0.16363326,0.5833804,0.3038295,-0.028956467,0.564159,0.30771932,-0.045497075,0.5664788",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.44584796,0.49286547,0.3481818","0.87891865,0.6865777,0.86159265","0.083930366,0.0944009,0.092561446,0.31228775,0.090301886,0.92257065,0.44584796,0.49286547,0.3481818",0.0
"0.083930366,0.0944009,0.092561446,0.31228775,0.090301886,0.92257065,0.44584796,0.49286547,0.3481818","0.90854156,0.64112866,0.72690964","0.17068948,0.1825528,0.17065382,0.4916696,0.29894692,0.74959815,0.44584796,0.49286547,0.3481818",0.0
"0.17068948,0.1825528,0.17065382,0.4916696,0.29894692,0.74959815,0.44584796,0.49286547,0.3481818","0.7688792,0.8835335,0.8990936","0.24411187,0.3040341,0.267244,0.57045686,0.55777466,0.4070067,0.44584796,0.49286547,0.3481818",0.0
"0.24411187,0.3040341,0.267244,0.57045686,0.55777466,0.4070067,0.44584796,0.49286547,0.3481818","0.07605541,-0.6498759,0.5615128","0.2513746,0.21467954,0.3275677,0.49879947,0.51135087,0.47925666,0.44584796,0.49286547,0.3481818",0.0
