state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.12748538,-0.1065497,0.3483126","-0.92872,0.15472841,0.93128026","-0.08868603,0.021274354,0.100048035,0.17750077,-0.04475384,0.9634614,0.12748538,-0.1065497,0.3483126",0.0
"-0.08868603,0.021274354,0.100048035,0.17750077,-0.04475384,0.9634614,0.12748538,-0.1065497,0.3483126","-0.18918413,0.3405738,0.8965764","-0.10675174,0.068101496,0.19636784,0.37404618,-0.12423818,0.8570228,0.12748538,-0.1065497,0.3483126",0.0
"-0.10675174,0.068101496,0.19636784,0.37404618,-0.12423818,0.8570228,0.12748538,-0.1065497,0.3483126","-0.5539273,0.0042067766,0.98729265","-0.15964776,0.06867991,0.30243334,0.43505496,-0.2319453,0.7329388,0.12748538,-0.1065497,0.3483126",0.0
"-0.15964776,0.06867991,0.30243334,0.43505496,-0.2319453,0.7329388,0.12748538,-0.1065497,0.3483126","-0.059263766,-0.9483389,0.92160106","-0.16530702,-0.06171182,0.40144157,0.30731755,-0.16901562,0.7378789,0.12748538,-0.1065497,0.3483126",0.0
"-0.16530702,-0.06171182,0.40144157,0.30731755,-0.16901562,0.7378789,0.12748538,-0.1065497,0.3483126","0.19297576,-0.6576642,0.82642365","-0.14687924,-0.15213728,0.49022484,0.24380709,-0.114764735,0.6887328,0.12748538,-0.1065497,0.3483126",0.0
"-0.14687924,-0.15213728,0.49022484,0.24380709,-0.114764735,0.6887328,0.12748538,-0.1065497,0.3483126","0.10700846,-0.21295917,0.92194676","-0.13666072,-0.18141809,0.58927023,0.26055348,-0.11291793,0.5681807,0.12748538,-0.1065497,0.3483126",0.0
"-0.13666072,-0.18141809,0.58927023,0.26055348,-0.11291793,0.5681807,0.12748538,-0.1065497,0.3483126","-0.4648987,-0.73530084,0.660568","-0.18105517,-0.2825182,0.6602355,0.1590802,-0.094825834,0.52106774,0.12748538,-0.1065497,0.3483126",0.0
"-0.18105517,-0.2825182,0.6602355,0.1590802,-0.094825834,0.52106774,0.12748538,-0.1065497,0.3483126","-0.22413987,-0.34857816,0.7711781","-0.20245892,-0.33044592,0.7430837,0.13383663,-0.09163029,0.41720745,0.12748538,-0.1065497,0.3483126",0.0
"-0.20245892,-0.33044592,0.7430837,0.13383663,-0.09163029,0.41720745,0.12748538,-0.1065497,0.3483126","-0.5177773,-0.031901836,0.40545332","-0.2519029,-0.33483228,0.7866419,0.121861316,-0.115090854,0.35189533,0.12748538,-0.1065497,0.3483126",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.13251463,0.09578947,0.62760717","0.7694459,-0.39120477,0.93123007","0.073476486,-0.053788662,0.10004266,0.020859927,0.010849388,0.98234236,0.13251463,0.09578947,0.62760717",0.0
"0.073476486,-0.053788662,0.10004266,0.020859927,0.010849388,0.98234236,0.13251463,0.09578947,0.62760717","0.7519131,-0.044056892,0.9863925","0.14527872,-0.05984628,0.20601147,0.13277298,0.07163853,0.9343903,0.13251463,0.09578947,0.62760717",0.0
"0.14527872,-0.05984628,0.20601147,0.13277298,0.07163853,0.9343903,0.13251463,0.09578947,0.62760717","0.4855008,-0.17154056,0.98179173","0.19164053,-0.08343225,0.31148604,0.18459433,0.13387027,0.85725194,0.13251463,0.09578947,0.62760717",0.0
"0.19164053,-0.08343225,0.31148604,0.18459433,0.13387027,0.85725194,0.13251463,0.09578947,0.62760717","0.065461755,-0.640556,0.76422834","0.19789164,-0.17150542,0.39358768,0.11929025,0.09258971,0.8146898,0.13251463,0.09578947,0.62760717",0.0
"0.19789164,-0.17150542,0.39358768,0.11929025,0.09258971,0.8146898,0.13251463,0.09578947,0.62760717","0.2903248,-0.2791239,0.93678033","0.22561553,-0.20988354,0.49422663,0.13287368,0.121556155,0.71522915,0.13251463,0.09578947,0.62760717",0.0
"0.22561553,-0.20988354,0.49422663,0.13287368,0.121556155,0.71522915,0.13251463,0.09578947,0.62760717","-0.24558508,-0.37051105,0.6677072","0.20216395,-0.26082695,0.5659589,0.1233433,0.0980934,0.64407337,0.13251463,0.09578947,0.62760717",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.3546199,-0.55333334,0.51169205","-0.36607236,-0.10633385,0.7873604","-0.03495726,-0.0146203665,0.08458664,0.08580257,-0.0036367998,0.98155504,-0.3546199,-0.55333334,0.51169205",0.0
"-0.03495726,-0.0146203665,0.08458664,0.08580257,-0.0036367998,0.98155504,-0.3546199,-0.55333334,0.51169205","-0.5674324,0.18596709,0.54318357","-0.08914293,0.0109491395,0.14294122,0.21022053,-0.054437526,0.94402444,-0.3546199,-0.55333334,0.51169205",0.0
"-0.08914293,0.0109491395,0.14294122,0.21022053,-0.054437526,0.94402444,-0.3546199,-0.55333334,0.51169205","-0.96850157,-0.66041595,0.55612814","-0.18162784,-0.079854675,0.20268649,0.09170078,-0.051976323,0.94274706,-0.3546199,-0.55333334,0.51169205",0.0
"-0.18162784,-0.079854675,0.20268649,0.09170078,-0.051976323,0.94274706,-0.3546199,-0.55333334,0.51169205","-0.8453212,0.08771527,0.7007643","-0.26234987,-0.06779429,0.27797008,0.15438196,-0.1583279,0.8806758,-0.3546199,-0.55333334,0.51169205",0.0
"-0.26234987,-0.06779429,0.27797008,0.15438196,-0.1583279,0.8806758,-0.3546199,-0.55333334,0.51169205","-0.9569672,0.26550162,0.2553457","-0.3537333,-0.03128921,0.3054021,0.14691144,-0.28383544,0.8287822,-0.3546199,-0.55333334,0.51169205",0.0
"-0.3537333,-0.03128921,0.3054021,0.14691144,-0.28383544,0.8287822,-0.3546199,-0.55333334,0.51169205","-0.7883147,0.40434158,0.6323421","-0.42901164,0.024305668,0.37333503,0.10976999,-0.4578493,0.68946004,-0.3546199,-0.55333334,0.51169205",0.0
"-0.42901164,0.024305668,0.37333503,0.10976999,-0.4578493,0.68946004,-0.3546199,-0.55333334,0.51169205","-0.8469435,0.17934799,0.47024775","-0.5098886,0.04896509,0.42385405,-0.010776324,-0.5330956,0.5859951,-0.3546199,-0.55333334,0.51169205",0.0
"-0.5098886,0.04896509,0.42385405,-0.010776324,-0.5330956,0.5859951,-0.3546199,-0.55333334,0.51169205","-0.9293008,0.34651744,-0.6414863","-0.5986301,0.09660945,0.35493883,-0.16822289,-0.5443981,0.62378305,-0.3546199,-0.55333334,0.51169205",0.0
"-0.5986301,0.09660945,0.35493883,-0.16822289,-0.5443981,0.62378305,-0.3546199,-0.55333334,0.51169205","-0.7301372,0.12914515,0.20808113","-0.66835284,0.11436625,0.37729314,-0.2998859,-0.52458864,0.56521213,-0.3546199,-0.55333334,0.51169205",0.0
