state,action,next_state,reward
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.07497077,-0.0057894737,-0.29193363","-0.8104025,0.95206094,0.95435274","-0.07738756,0.13090348,0.10252671,0.3991934,-0.09304621,0.88212574,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.07738756,0.13090348,0.10252671,0.3991934,-0.09304621,0.88212574,0.07497077,-0.0057894737,-0.29193363","-0.9696748,0.9074998,0.92646194","-0.16998446,0.25568005,0.2020571,0.6159012,-0.3574775,0.59319705,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.16998446,0.25568005,0.2020571,0.6159012,-0.3574775,0.59319705,0.07497077,-0.0057894737,-0.29193363","-0.9841156,0.8791535,0.8950491","-0.26396036,0.37655914,0.2982128,0.58519787,-0.6303504,0.2116096,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.26396036,0.37655914,0.2982128,0.58519787,-0.6303504,0.2116096,0.07497077,-0.0057894737,-0.29193363","-0.9679919,0.9673128,0.88694715","-0.35639653,0.5095597,0.39349806,0.37323165,-0.7571229,-0.20696376,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.35639653,0.5095597,0.39349806,0.37323165,-0.7571229,-0.20696376,0.07497077,-0.0057894737,-0.29193363","-0.97179276,0.96935,0.97099185","-0.4491957,0.6428404,0.49781227,0.11030304,-0.6487994,-0.5508026,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.4491957,0.6428404,0.49781227,0.11030304,-0.6487994,-0.5508026,0.07497077,-0.0057894737,-0.29193363","-0.98314184,0.99201846,0.98494005","-0.5430786,0.7792378,0.60362494,-0.044065326,-0.36651143,-0.73165274,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.5430786,0.7792378,0.60362494,-0.044065326,-0.36651143,-0.73165274,0.07497077,-0.0057894737,-0.29193363","-0.9340008,0.95682144,0.9747329","-0.6322689,0.9107959,0.70834106,-0.029046567,-0.080172546,-0.7212731,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.6322689,0.9107959,0.70834106,-0.029046567,-0.080172546,-0.7212731,0.07497077,-0.0057894737,-0.29193363","-0.97710377,0.30605316,0.9610007","-0.7255752,0.9528766,0.8115819,0.027193349,0.022826813,-0.58737993,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.7255752,0.9528766,0.8115819,0.027193349,0.022826813,-0.58737993,0.07497077,-0.0057894737,-0.29193363","-0.98129356,0.30659103,0.94173","-0.81928164,0.99503136,0.91275245,0.08086394,0.044706512,-0.425806,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.81928164,0.99503136,0.91275245,0.08086394,0.044706512,-0.425806,0.07497077,-0.0057894737,-0.29193363","-0.9891377,0.3040632,0.8910589","-0.9137347,0.99998003,0.9999978,0.076906204,0.015358674,-0.29015318,0.07497077,-0.0057894737,-0.29193363",0.0
"-0.9137347,0.99998003,0.9999978,0.076906204,0.015358674,-0.29015318,0.07497077,-0.0057894737,-0.29193363","-0.9908795,0.5916147,0.5611342","-0.99999756,0.99998003,0.9999978,0.07820971,-0.005789559,-0.29014903,0.07497077,-0.0057894737,-0.29193363",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.39701757,-0.6182456,-0.42556617","0.86766195,-0.88912606,-0.96312934","0.08285541,-0.12225027,-0.10346959,-0.38222736,-0.09581206,0.8898233,-0.39701757,-0.6182456,-0.42556617",0.0
"0.08285541,-0.12225027,-0.10346959,-0.38222736,-0.09581206,0.8898233,-0.39701757,-0.6182456,-0.42556617","0.9072654,-0.927724,-0.9684829","0.16949266,-0.24980755,-0.20751432,-0.6122584,-0.35405388,0.5956834,-0.39701757,-0.6182456,-0.42556617",0.0
"0.16949266,-0.24980755,-0.20751432,-0.6122584,-0.35405388,0.5956834,-0.39701757,-0.6182456,-0.42556617","0.87369835,-0.8698888,-0.9477809","0.25292453,-0.3694128,-0.30933502,-0.60249513,-0.6054078,0.2092623,-0.39701757,-0.6182456,-0.42556617",0.0
"0.25292453,-0.3694128,-0.30933502,-0.60249513,-0.6054078,0.2092623,-0.39701757,-0.6182456,-0.42556617","0.7183142,-0.8652829,-0.8971958","0.3215183,-0.4883848,-0.4057213,-0.4500594,-0.70583075,-0.17891534,-0.39701757,-0.6182456,-0.42556617",0.0
"0.3215183,-0.4883848,-0.4057213,-0.4500594,-0.70583075,-0.17891534,-0.39701757,-0.6182456,-0.42556617","0.107625484,-0.6512785,-0.42555547","0.33179572,-0.5779323,-0.45143893,-0.38874173,-0.65439194,-0.4044931,-0.39701757,-0.6182456,-0.42556617",0.0
"0.33179572,-0.5779323,-0.45143893,-0.38874173,-0.65439194,-0.4044931,-0.39701757,-0.6182456,-0.42556617","-0.08060372,-0.051018476,-0.15608704","0.32409868,-0.5849471,-0.46820742,-0.39207435,-0.62473255,-0.4318531,-0.39701757,-0.6182456,-0.42556617",0.0
"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.038011696,-0.38847953,-0.74957925","0.7596812,-0.9590737,-0.95595485","0.07254404,-0.1318677,-0.10269883,-0.4025915,-0.08743163,0.88101375,0.038011696,-0.38847953,-0.74957925",0.0
"0.07254404,-0.1318677,-0.10269883,-0.4025915,-0.08743163,0.88101375,0.038011696,-0.38847953,-0.74957925","0.8567927,-0.9301346,-0.950271","0.15436153,-0.25975645,-0.20478705,-0.63910216,-0.33020464,0.58222586,0.038011696,-0.38847953,-0.74957925",0.0
"0.15436153,-0.25975645,-0.20478705,-0.63910216,-0.33020464,0.58222586,0.038011696,-0.38847953,-0.74957925","0.8993919,-0.9307141,-0.89516604","0.24024692,-0.38772485,-0.3009553,-0.6352253,-0.5894984,0.18383397,0.038011696,-0.38847953,-0.74957925",0.0
