uoc,state,action,next_state,reward
7,"-0.9142958,0.99998003,0.9999978,0.076932974,0.015223022,-0.2901532,0.07485381,-0.0066081868,-0.29193363","-0.99031603,0.5678153,0.56132746","-0.99999756,0.99998003,0.9999978,0.07820971,-0.005789559,-0.29014903,0.07485381,-0.0066081868,-0.29193363",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.38000003,0.5710526,-0.15444382","0.81317925,0.9090346,0.91700363","0.07765272,0.12498759,0.09851428,0.38045648,0.10066579,0.8912487,0.38000003,0.5710526,-0.15444382",0.0
7,"0.07765272,0.12498759,0.09851428,0.38045648,0.10066579,0.8912487,0.38000003,0.5710526,-0.15444382","0.8455496,0.8259088,0.87956893","0.15839657,0.2385458,0.19300693,0.5963366,0.3305268,0.6348621,0.38000003,0.5710526,-0.15444382",0.0
7,"0.15839657,0.2385458,0.19300693,0.5963366,0.3305268,0.6348621,0.38000003,0.5710526,-0.15444382","0.7579411,0.773919,0.8827281","0.23077446,0.3449557,0.28783897,0.62321013,0.55986995,0.29327047,0.38000003,0.5710526,-0.15444382",0.0
7,"0.23077446,0.3449557,0.28783897,0.62321013,0.55986995,0.29327047,0.38000003,0.5710526,-0.15444382","0.54263973,0.6746756,0.88884556","0.28259262,0.43772015,0.3833282,0.5336038,0.6649955,-0.0443995,0.38000003,0.5710526,-0.15444382",0.0
7,"0.28259262,0.43772015,0.3833282,0.5336038,0.6649955,-0.0443995,0.38000003,0.5710526,-0.15444382","0.36908984,0.015431762,0.8350979","0.317838,0.43984202,0.4730433,0.4196745,0.66217184,-0.16529259,0.38000003,0.5710526,-0.15444382",0.0
7,"0.317838,0.43984202,0.4730433,0.4196745,0.66217184,-0.16529259,0.38000003,0.5710526,-0.15444382","-0.07621348,-0.24543476,0.6605257","0.31056017,0.40609604,0.54400396,0.39805815,0.5982769,-0.1827043,0.38000003,0.5710526,-0.15444382",0.0
7,"0.31056017,0.40609604,0.54400396,0.39805815,0.5982769,-0.1827043,0.38000003,0.5710526,-0.15444382","0.040451646,-0.1775747,0.27510214","0.31442302,0.3816805,0.57355833,0.37526238,0.5795506,-0.17121993,0.38000003,0.5710526,-0.15444382",0.0
7,"0.31442302,0.3816805,0.57355833,0.37526238,0.5795506,-0.17121993,0.38000003,0.5710526,-0.15444382","-0.03934914,-0.06572044,0.029115677","0.31066546,0.3726443,0.57668626,0.380693,0.57303363,-0.15922119,0.38000003,0.5710526,-0.15444382",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.005789474,0.0022807017,-0.7596475","0.8374802,0.9822613,0.9568832","0.079973295,0.13505588,0.102798566,0.40368715,0.10959023,0.87770045,0.005789474,0.0022807017,-0.7596475",0.0
7,"0.079973295,0.13505588,0.102798566,0.40368715,0.10959023,0.87770045,0.005789474,0.0022807017,-0.7596475","0.81983304,0.9767542,0.9428258","0.1582614,0.26935455,0.20408693,0.6405308,0.3541799,0.56623316,0.005789474,0.0022807017,-0.7596475",0.0
7,"0.1582614,0.26935455,0.20408693,0.6405308,0.3541799,0.56623316,0.005789474,0.0022807017,-0.7596475","-0.2530371,0.9635563,0.90754247","0.13409819,0.40183863,0.30158478,0.7955492,0.36283907,0.15288886,0.005789474,0.0022807017,-0.7596475",0.0
7,"0.13409819,0.40183863,0.30158478,0.7955492,0.36283907,0.15288886,0.005789474,0.0022807017,-0.7596475","-0.50382876,0.97136545,0.93048525","0.085986204,0.5353964,0.40154734,0.7992888,0.2273325,-0.26954082,0.005789474,0.0022807017,-0.7596475",0.0
7,"0.085986204,0.5353964,0.40154734,0.7992888,0.2273325,-0.26954082,0.005789474,0.0022807017,-0.7596475","-0.007304013,0.96820545,0.95718575","0.085288726,0.66851974,0.5043784,0.6026773,0.17146567,-0.5941922,0.005789474,0.0022807017,-0.7596475",0.0
7,"0.085288726,0.66851974,0.5043784,0.6026773,0.17146567,-0.5941922,0.005789474,0.0022807017,-0.7596475","-0.69290495,0.9611596,0.9461074","0.019121328,0.80067426,0.6060192,0.3388763,0.026181458,-0.7491907,0.005789474,0.0022807017,-0.7596475",0.0
7,"0.019121328,0.80067426,0.6060192,0.3388763,0.026181458,-0.7491907,0.005789474,0.0022807017,-0.7596475","-0.7829205,0.92604756,0.7402477","-0.0556419,0.92800105,0.68554443,0.08594537,-0.00929933,-0.7506585,0.005789474,0.0022807017,-0.7596475",0.0
7,"-0.0556419,0.92800105,0.68554443,0.08594537,-0.00929933,-0.7506585,0.005789474,0.0022807017,-0.7596475","-0.7012922,0.55856514,0.10279536","-0.12260738,0.999981,0.69659597,-0.008990019,0.009892275,-0.74372196,0.005789474,0.0022807017,-0.7596475",0.0
7,"-0.12260738,0.999981,0.69659597,-0.008990019,0.009892275,-0.74372196,0.005789474,0.0022807017,-0.7596475","-0.43861234,0.11893368,-0.092692554","-0.16448884,0.9999811,0.68664664,-0.000803983,0.0071160146,-0.7565456,0.005789474,0.0022807017,-0.7596475",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.062397663,-0.6830409,-0.15444382","0.9592924,-0.8664582,-0.94153464","0.091605455,-0.119133554,-0.101149656,-0.37090808,-0.1037531,0.8946747,-0.062397663,-0.6830409,-0.15444382",0.0
7,"0.091605455,-0.119133554,-0.101149656,-0.37090808,-0.1037531,0.8946747,-0.062397663,-0.6830409,-0.15444382","0.9559891,-0.7747246,-0.9065421","0.18289548,-0.2256542,-0.19854005,-0.562614,-0.35737044,0.6485568,-0.062397663,-0.6830409,-0.15444382",0.0
7,"0.18289548,-0.2256542,-0.19854005,-0.562614,-0.35737044,0.6485568,-0.062397663,-0.6830409,-0.15444382","0.96891665,-0.6566493,-0.8898348","0.27541998,-0.31594014,-0.29413554,-0.531848,-0.6154545,0.3418956,-0.062397663,-0.6830409,-0.15444382",0.0
7,"0.27541998,-0.31594014,-0.29413554,-0.531848,-0.6154545,0.3418956,-0.062397663,-0.6830409,-0.15444382","0.95136666,-0.62739235,-0.8298577","0.3662686,-0.40220338,-0.3832877,-0.34992647,-0.7691211,0.029229883,-0.062397663,-0.6830409,-0.15444382",0.0
7,"0.3662686,-0.40220338,-0.3832877,-0.34992647,-0.7691211,0.029229883,-0.062397663,-0.6830409,-0.15444382","0.8178854,-0.54146755,-0.70306516","0.44437072,-0.47665244,-0.4588184,-0.14338234,-0.7787797,-0.21952075,-0.062397663,-0.6830409,-0.15444382",0.0
7,"0.44437072,-0.47665244,-0.4588184,-0.14338234,-0.7787797,-0.21952075,-0.062397663,-0.6830409,-0.15444382","0.1987822,0.28844,-0.7951475","0.46335298,-0.43699348,-0.54424155,-0.08763031,-0.707399,-0.23690301,-0.062397663,-0.6830409,-0.15444382",0.0
